DocName	MatchingDocName	MatchPercentage	Doc	MatchingDoc
Brescia_0029	Halfan_0069	16	נהר נתיבות ונהר יוצא מעדן עד אי זה המקום להשקות את הגן	מזה הצנור מתפשט נהר היוצא מעדן להשקות את הגן היבש מצד הזוהמא ולא יתגבר הזוהמא בעבור זאת ההשקאה וזה הצנור קיום העולם
Brescia_0030	Halfan_0113	63	ספירת החכמה היא המחשבה הנאחזת בכתר הנקרא אין סוף שהוא סוד המציאות הנסתרות והחכמה הנקרא בכל מקום עומק ועליה אמר הכתו' ממעמקים קראתיך יי"י ואומ' מאד עמקו מחשבותיך לפי שהוא סוד המחשבה שאין דבר יכולה בעולם להשיג במקום זה המחשבה קצת ואין דרך להגיע לה אלא ע"י הבינה מים עמוקי' עצה בלב איש ואיש תבונות ידלנה וכתו' רחוק מה שהיה ועמקו עמוק מי ימצאנה וזהו סוד עמוק רום ועומק תחת עומק מזרח ועומק מערב עומק צפון ועומק דרום לפי שהיא מקצת לכל הספירות	<חכמה 1> ספירת החכמה היא א' תחלת מחשבת החכמה הנאחזת בכתר הנקרא אין סוף שהוא סוד המציאות [הנסתר]ת והחכמה נ[קראת ב]כל מקום ע[ומק ועליה] אמר הכת[וב ממעמקי]ם קראתיך [ייי ונאמר] מאד עמקו מחשבותיך לפי שהוא סוד המחשבה ואין דרך להגיע לה אלא ע"י הבינה. שנאמ׳ מים עמוקי׳ עצה בלב איש ואיש תב' תבונות ידלנה. ונא׳ רחוק מה שהיה ועמוק עמוק מי ימצאנה וזהו סוד עומק רום עומק תחת ועומק מזרח ועומק מערב ועומק שהיא מקפת כל הספירות תחת הכתר וכל הנמצאי׳ ככל האומות אינם משיגי׳ לשם והיא סוד אותיות יו"ד של הוי"ה ית' והכתר העליון נאחזת בקוצה ועליה נאמר בכל מקום עלה במחשבה. ונקראת חכמה ראשונה ונקראת בכל מקום עד"ן ונקראת י"ש כענין שנא' להנחיל אוהבי י"ש ואוצרותיהם אמלא. ומספירת חכמה ולמטה סדרי הדיינים וכל הגוונים. ופנים ואחור ולבן ושחור ואין דרך ואין עניין ליכנס לידיעת דבר זה לשום נברא בעולם לדעת דבר על בוריו. (ועל) <חכמה 2> ועל ספירות הללו נאמר וחנותי את אשר אחון ורחמתי וגו׳. והספירה הזאת יש לה ל"ב מבועין שבהן נאצלו ל"ב נתיבות חכמ"ה וכל מעשה בראשית בה נעשו לפי שהיא נקראת ראשית וכתי׳ כלם בחכמה עשית מלאה הארץ קנייניך. ונאמר בר"א שי"ת בר"א אלהים את והנה חותם כל התכונה וכל מיני האצילות.
Brescia_0031	Halfan_0113	25	סוד החכמה היא סוד אות של שם יו"ד ה"א וא"ו ה"א והכתר העליון הוא הנאחז בקוצה ועליה נאמר עלה במחשבה והיא הנקרא חכמה ונקראת בכל מקום י"ש וזו היא הנחלה הגנוזה להתעדן לצדיקים לעתיד ועליה נאמ' להנחיל אוהבי י"ש ומן הספירות החכמה למטה הן סדריה הדינין ואין דרך להכנס לידיעת זה לשום נברא בעולם וכל מעשה בראשית בה תעשיה  לפי שהיא קדמה לכל והיא הנקרא' ראשית וכת' כלם בחכמה עשית	<חכמה 1> ספירת החכמה היא א' תחלת מחשבת החכמה הנאחזת בכתר הנקרא אין סוף שהוא סוד המציאות [הנסתר]ת והחכמה נ[קראת ב]כל מקום ע[ומק ועליה] אמר הכת[וב ממעמקי]ם קראתיך [ייי ונאמר] מאד עמקו מחשבותיך לפי שהוא סוד המחשבה ואין דרך להגיע לה אלא ע"י הבינה. שנאמ׳ מים עמוקי׳ עצה בלב איש ואיש תב' תבונות ידלנה. ונא׳ רחוק מה שהיה ועמוק עמוק מי ימצאנה וזהו סוד עומק רום עומק תחת ועומק מזרח ועומק מערב ועומק שהיא מקפת כל הספירות תחת הכתר וכל הנמצאי׳ ככל האומות אינם משיגי׳ לשם והיא סוד אותיות יו"ד של הוי"ה ית' והכתר העליון נאחזת בקוצה ועליה נאמר בכל מקום עלה במחשבה. ונקראת חכמה ראשונה ונקראת בכל מקום עד"ן ונקראת י"ש כענין שנא' להנחיל אוהבי י"ש ואוצרותיהם אמלא. ומספירת חכמה ולמטה סדרי הדיינים וכל הגוונים. ופנים ואחור ולבן ושחור ואין דרך ואין עניין ליכנס לידיעת דבר זה לשום נברא בעולם לדעת דבר על בוריו. (ועל) <חכמה 2> ועל ספירות הללו נאמר וחנותי את אשר אחון ורחמתי וגו׳. והספירה הזאת יש לה ל"ב מבועין שבהן נאצלו ל"ב נתיבות חכמ"ה וכל מעשה בראשית בה נעשו לפי שהיא נקראת ראשית וכתי׳ כלם בחכמה עשית מלאה הארץ קנייניך. ונאמר בר"א שי"ת בר"א אלהים את והנה חותם כל התכונה וכל מיני האצילות.
Brescia_0036	Brescia_0042	16	הבינה היא הסוד לחיי הבא וחמשים שערים יש לה וחמשים מושכין ממנה	חמישים שערים יש לבינה ומשה לא השיג אלא מ"ט
Brescia_0043	Halfan_0116	30	ספירת הבינה היא סוד מציאות עליונה ונעלמה ונסתרת ואין צד לשום שר האומות לעלות לה ולא ראה אותה עין ולא השיג בה נביא ולא שום נוצר עין לא ראתה אלוהים זולתיך וזו היא הספירה שממנה נאצלת הגאולות והנפלאות וממנה ימשכו החיים והברכות לכל הספירות ויעקב אבינו עלה ונדבק בה ועל זה נאמר ופרצת ימה וכו' והיא הנחלה בלא מצרים לפי שאין לה גבול ולא שיעור וממנה מתפתחין חמשים שערי בינה אשר ממנה נאצלות חמשים ספירות שהם סוד היובל	<בינה 1> ספירת הבינה הוא סוד מציאות עליונה נעלמת ונסתרת ואין דרך ועניין ושום צד לשרי אומות לעלות אליה. ולא ראה אותה עין כל נברא עין לא ראתה אלהים זולתך.  ומהספירה הזאת נאצלת הגואלות והנפלאות וימשכו ממנו החיים והברכות לכל שבע הספירות ויעקב אבינו ע"ה עלה ונדבק בה ולפיכך נאמר ופרצת ימה וקדמה  והיא נחלה בלא מצרי' בוודאי ואין לה קץ וגבול ושיעור וזוהי  סוד ה"א ראשונה של שם יהו"ה וזוהי המעלה הנק' עליה בכל מקום והוא סוד חיי עולם ונקרא יהו"ה ונק' אלהים לפי שהוא סוד התלבושת והיא הר"ה עם כ"ע שהם רמוזות בשם י"ה בכל מקום והיא סוד בתי גואי וממנה ולמטה בתי בראי ששם מתאחזים שרי האומות וקטרוגי' ומלחמות וגליות וממנה ולמעלה סוד כל הגאולות והישועות והנחמות וכל מיני חרות שנא' זאת נחלת עבדי יהוה.  וסוד מתן תורה ושכרן של מצות.
Brescia_0048	Halfan_0116	20	סוד ה"א הראשונה של שם המיוחד ית' וזו היא חיי העולם הבא ונכתבת יו"ד ה"א ו"ו ה"א ונקראת אלהים והיא הרמוזה בש' י"ה בכל מקום וזהו מקום הנדר ומקום הכעס ונקראת יין המשומר ומצה משומרת שלא נתערב בה חמץ לעולם ונקראת יובל ונקרא גאולה ונקרא תשובה והיא סוד יום הכפורים והיא סוד כל מקום שנמנה חמשים והיא סוד בתי גואי שמשם ולמטה בתי בראי שמשם מתאחדים שרי האומות וממנה ולמעלה סוד החדוה השלימה זאת נחלת עבדי הש' וצדקתם ובמקום הזה סוד מתן שכרן של מצות	<בינה 1> ספירת הבינה הוא סוד מציאות עליונה נעלמת ונסתרת ואין דרך ועניין ושום צד לשרי אומות לעלות אליה. ולא ראה אותה עין כל נברא עין לא ראתה אלהים זולתך.  ומהספירה הזאת נאצלת הגואלות והנפלאות וימשכו ממנו החיים והברכות לכל שבע הספירות ויעקב אבינו ע"ה עלה ונדבק בה ולפיכך נאמר ופרצת ימה וקדמה  והיא נחלה בלא מצרי' בוודאי ואין לה קץ וגבול ושיעור וזוהי  סוד ה"א ראשונה של שם יהו"ה וזוהי המעלה הנק' עליה בכל מקום והוא סוד חיי עולם ונקרא יהו"ה ונק' אלהים לפי שהוא סוד התלבושת והיא הר"ה עם כ"ע שהם רמוזות בשם י"ה בכל מקום והיא סוד בתי גואי וממנה ולמטה בתי בראי ששם מתאחזים שרי האומות וקטרוגי' ומלחמות וגליות וממנה ולמעלה סוד כל הגאולות והישועות והנחמות וכל מיני חרות שנא' זאת נחלת עבדי יהוה.  וסוד מתן תורה ושכרן של מצות.
Brescia_0054	Brescia_0078	20	המדה הזאת היא סוד א"ל והשרים החיצונים נקראים אלהים אחרים	המדה הזאת מדת הגבורה היא סוד הפחד והדין הקשה וזהו פחד יצחק
Brescia_0059	Magnificant_0785	20	כינויו של יו' ה' יו' ה' יה לצד האמצע הסמוך לימין רוח קרוב לאש הימין	הנני מוסיף המאמר ביאור סדר המערכה ר"ל סדר אצילות הספי' איך סדורם וסדר הזמנים היו קודם לכן ר"ל מהתפשטות הבנין מתהו לבהו אמרו שעץ החיים מהלך ששים שנה ואמרו שנופו ת"ק שנה ועתה דע סדר האצילות מבינ"ה ולמטה כך גדול"ה גבור"ה תפאר"ת עטר"ת נצ"ח הו"ד יסו"ד וזהו שאמרו רז"ל שהעולם עומד תחת עמוד אחת ושמו צדיק שנ' וצדיק יסוד עולם ונקרא יסוד דבר אחרון ובהיות העט' כלולה בתפארת שתאומים נאצלו ר"ל ששניהם היו בסוד הלובן היה היסוד האחדות באצילות שנ' וצדיק יסוד עולם וצדיק שהוא רמז ליסוד יסוד העטרה הנקראת עולם ואחרי שקטרגו ואמרו אי אפשר לשני מלכים שישתמשו בכתר אחד ונפנה לראש פנה אז אחרונה באצילות ומספר הימים היו בזה הסדר תפארת יום א' עט' יום ב' גדולה יום ג' גבורה יום ד' נצח יום ה' הוד יום ו' יסוד יום ז' ואחרי שנתנה לראש פנה העט' ששי למספר הימים ויסוד לכל המספרי' השביעי נחזור לביאור האילן
Brescia_0060	Brescia_0089	30	ולמים והם נורא נושא עון ועובר על פשע ונק"י [.]יף	נושא עון נורא ועובר על פשע
Brescia_0060	Halfan_0025	40	ולמים והם נורא נושא עון ועובר על פשע ונק"י [.]יף	[נורא נוש"א עון. עוב"ר על פשע. אמת.] דרום. רם. נוצר חסד. שוכן [עד. קדוש. מכ]ריע ראשון. בריח התיכון. קו האמצעי. [חתן המלך. אני] הוא. אתה. זכר. אדם. יעקב. איש. [פה. עין.] אספקלריאה המאירה. רקיע מבדיל. [זה. חמה. מאור] הגדול. אור. מדת יום. פועל אמת. [מים מזוגים. מ]דת רחמים. כסא. מראה. משפט. שמים. א[נכי. צבע] לבן הנוטה לאודם. ואלהי יעקב. וידבר. תפלה. צדקה. בעל הבית. ירושלים [ש]ל מעלה. ספר [תורה]. עדן. צרור החיי'. שופר. תקיעה. שם [המיוחד.] נורא. זכור. אב הרחמים. רוח. אויר. [ראש.] נקודת שורק. שלש נקודות. רום בשורק. מצה. מזרח. מזבח העולה. מקום. פנים המאירים. לויתן זכר. תורה שבכתב. מצות עשה. אש לבנה. דעת. עץ החיים. גוף האילן. [משה.] אוריאל. כח. גדול. יום [ראשון]. ישראל סבא. זכרינו. שדים. לשון. רגל שלישי ל[מרכבה].
