DocName	MatchingDocName	MatchPercentage	Doc	MatchingDoc
Halfan_0046	Halfan_0047	16	תפילין של ראש: ומזה הצנור ע[צמו] מתפשט הלובן [הא]מיתי והוא עולם הטהרה	מזה הצנור מתפשט היין ה[מבוש]ם אל הבינה והבינה מוציא' מן הכח אל הפעל היין המבושם ההוא מתפשט על המזבח כדי לתקן תבשיל קדירה המ[סר]חת מחמת עבירות של ישראל ושם מנסכין אותו כי בכאן הוא כשר כי [גוי] לא [יע]לה בו אלא ישראל וגוי לא נגע בו מעולם וזהו טעם אסור יין נס[ך] וזה הצינור נקרא שחור לשון העלמה והוא רמז לרצועה שמאלית של תפילין של ראש
Halfan_0048	Halfan_0198	35	מזה הצנור נמשכים ל"ב נתיבות חכמה שהם רשומות בש"ה ויוצאות מן הכח אל הפועל ע"י הש"ת והם כ"ב אותיות והכח הכמוס שהם אצילות הספירות עד שנמשך צנור זה מהש"ה אל הש"ת והש"ת מוציאה הכ[ל] מן הכח אל הפועל ולכן נקראת אלהים כי המלה מורה פעולה	מזה הצנור נמשכים ל"ב נתיבות חכמה שהם רשומות בש"ה ויוצאות מן הכח אל הפועל ע"י הש"ת
Halfan_0050	Munic_448_0039	53	מ[זה] הנתיב עולה עד הצואר לקבל מן מחשוף הלבן לברך (לברך) את צאן ל[בן] הארמי כי עי[ני] לאה רכות  ונדבק הקליפה ברחל ולאה ולכך עשה הצדיק מחשוף הלבן ולקח רחל ולאה [וחל]ק הקלפה ועבד שבעה בכל אחת ולקח זלפה ובלהה לטהר הפרדס וליחד [      ] שלמה [      ] רחל עקרה כי קליפות יש בה:	מזה הנתיב שלח יעקב עד הצואר לקבל מן מחשוף הלבן למהר את צאן הלבן הארמי כי עיני לאה רכות ונדבק []קליפה מרחל ולאה ולכך עשה הצדיק מחשוף הלבן ולקח רחל ולאה לחלק הקליפה ועבד ז׳ בכל אחת ולקח זלפה ובלהה לטהר הפרדס וליחד באחדות שלימה מ״מ רחל עקרה כי קליפות יש בה
Halfan_0056	Munic_448_0042	63	מזה הנתיב נאצל אש ממים ונבראו שרפים ומכח תנועתם מתגלית התאוה	מזה הנתיב נאצל אש ממים ונבראו שרפים ואופנים ומכח תנועתם התאוה. אמנם זה בגבול זה נקרא עולם הטהרה ומטהרת את הטמאים ומטמא את הטהורים. לטמא מדה טובה מרובה בכח לא בפועל
Halfan_0056	Magnificant_0320	54	מזה הנתיב נאצל אש ממים ונבראו שרפים ומכח תנועתם מתגלית התאוה	מזה הנתיב נאצל אש ממים ונבראו שרפים ואופנים ומכח תנועתם מתגלית  התאוה אמנם המים מכבין האש ומחלישין הזוהמא העומדת בחוץ  וזהו צנן הנקבה ואם נכנס בגבול נקרא עולם בטהרה  ומטהרת הטמאים  ומטמא הטהורים לטמא מדה טובה המרובה הפורענות ולטהר בשיווי בא לטמא פותחין ולזה מדה טובה בכח בפועל:
Halfan_0056	Halfan_0203	27	מזה הנתיב נאצל אש ממים ונבראו שרפים ומכח תנועתם מתגלית התאוה	מזה הנתיב נאצל אש ממים וכו'
Halfan_0057	Munic_448_0043	60	[  ] המים מכבים את האש ומחלישי' כח הזוהמה העומדת בחוץ וזהו צנן את הנקבה	המים מכבים את האש ומחליש כח הזוהמא העומדת בחוץ וזהו צנן הנקבה ואם [ ] טובה מרובה ממדת פורענות. ולטהור משווי בא לטמא פתחין לו. ולמזה.
Halfan_0057	Magnificant_0320	20	[  ] המים מכבים את האש ומחלישי' כח הזוהמה העומדת בחוץ וזהו צנן את הנקבה	מזה הנתיב נאצל אש ממים ונבראו שרפים ואופנים ומכח תנועתם מתגלית  התאוה אמנם המים מכבין האש ומחלישין הזוהמא העומדת בחוץ  וזהו צנן הנקבה ואם נכנס בגבול נקרא עולם בטהרה  ומטהרת הטמאים  ומטמא הטהורים לטמא מדה טובה המרובה הפורענות ולטהר בשיווי בא לטמא פותחין ולזה מדה טובה בכח בפועל:
Halfan_0058	Munic_448_0043	28	ואם נכנס זה בגבול זה נקרא עולם הטהרה ומטהרת הטמאים ומטמאה הטהורים [  ] [מדה] טובה מרובה ממדת פורענות ולטהור בשווי בא לטמא פתחין לו ומזה מדה טובה מרובה בכח ולא בפועל	המים מכבים את האש ומחליש כח הזוהמא העומדת בחוץ וזהו צנן הנקבה ואם [ ] טובה מרובה ממדת פורענות. ולטהור משווי בא לטמא פתחין לו. ולמזה.
Halfan_0058	Munic_448_0042	43	ואם נכנס זה בגבול זה נקרא עולם הטהרה ומטהרת הטמאים ומטמאה הטהורים [  ] [מדה] טובה מרובה ממדת פורענות ולטהור בשווי בא לטמא פתחין לו ומזה מדה טובה מרובה בכח ולא בפועל	מזה הנתיב נאצל אש ממים ונבראו שרפים ואופנים ומכח תנועתם התאוה. אמנם זה בגבול זה נקרא עולם הטהרה ומטהרת את הטמאים ומטמא את הטהורים. לטמא מדה טובה מרובה בכח לא בפועל
Halfan_0058	Magnificant_0320	40	ואם נכנס זה בגבול זה נקרא עולם הטהרה ומטהרת הטמאים ומטמאה הטהורים [  ] [מדה] טובה מרובה ממדת פורענות ולטהור בשווי בא לטמא פתחין לו ומזה מדה טובה מרובה בכח ולא בפועל	מזה הנתיב נאצל אש ממים ונבראו שרפים ואופנים ומכח תנועתם מתגלית  התאוה אמנם המים מכבין האש ומחלישין הזוהמא העומדת בחוץ  וזהו צנן הנקבה ואם נכנס בגבול נקרא עולם בטהרה  ומטהרת הטמאים  ומטמא הטהורים לטמא מדה טובה המרובה הפורענות ולטהר בשיווי בא לטמא פותחין ולזה מדה טובה בכח בפועל:
Halfan_0059	Halfan_0198	15	מזה הצנור מתפשט המים והשמן אל התפארת ול"ה שרים ומתפארת יצאו לפועל אמנם יצאו מן הכח על הפעל ע"י העט'	מזה הצנור נמשכים ל"ב נתיבות חכמה שהם רשומות בש"ה ויוצאות מן הכח אל הפועל ע"י הש"ת
Halfan_0059	Halfan_0060	15	מזה הצנור מתפשט המים והשמן אל התפארת ול"ה שרים ומתפארת יצאו לפועל אמנם יצאו מן הכח על הפעל ע"י העט'	מזה הצנור מתפשט היין אל התפארת ועשו עם ל"ה שרים מוצאי' [  ] <מכח> אל הפועל ע"י תפארת אמנם הפועל הגומר הוא ע"י העט' אבל עשו חוץ לפרדס הוא ומזה תוכל להבין כי ע' שרים נמשכי' מהתפארת ועם הדו פרצופי' הם ע"ב ונוכל להבין למה יצחק אוהב את עשו ורבקה אוהבת את יעקב
Halfan_0059	Halfan_0204	15	מזה הצנור מתפשט המים והשמן אל התפארת ול"ה שרים ומתפארת יצאו לפועל אמנם יצאו מן הכח על הפעל ע"י העט'	מזה הצנור מתפשט המים והשמן אל הת"ת
Halfan_0060	Munic_448_0017	11	מזה הצנור מתפשט היין אל התפארת ועשו עם ל"ה שרים מוצאי' [  ] <מכח> אל הפועל ע"י תפארת אמנם הפועל הגומר הוא ע"י העט' אבל עשו חוץ לפרדס הוא ומזה תוכל להבין כי ע' שרים נמשכי' מהתפארת ועם הדו פרצופי' הם ע"ב ונוכל להבין למה יצחק אוהב את עשו ורבקה אוהבת את יעקב	מזה המקום ע׳ שרים והם שרי עשיו ויניקתם משור והם ג׳ קליפות, שר עשיו קליפה ועל כן ותכהין עיניו מראות כי זקן הוא כי ציד בפיו ויצחק אהב את עשיו ורבקה אוהבת את יעקב כי היין משומר מענביו ל״ה שרים מלאכי חובה. וכן מ׳ שנה לקח אשה יהודית בת בארי בסוד באר שבע ובסוד ארבעים יכנו והנה איש שער. השי״ן מתחלפת בסמ״ך והסוד עלי קללתך בני. והבן זה ותבין ענין השתדלותה לברך את יעקב. הקול קול יעקב והידיים ידי עשיו כי משם כח התאוה משם [ ]. ותבין הברכה מטל השמים ומשמני הארץ וישתחוו לך בני אמך כסוד אם הבנים ובסוד ומדעת חדרים ימלאו. אוררך ארור בסוד ויתעצב אל ליבו. ומברכיך ברוך בסוד וידע אלהים אבל עשיו ממטה למעלה עולה ומשטין יורד ומקטרג ועל חרבך תחיה בסוד חרב המתהפכת וברח ללבן כי ברחמים לא ידע אם לוקח מבנות חת כשמו כן הוא כאלה. ותבין אלה והם בנות הארץ למה לי חיים אם ידבק בקליפות ועשיו לקח בת ישמעאל לערב הכוחות ולהיות מושל בכל
Halfan_0061	Halfan_0206	16	מזה הצנור מתפשט החסד לתפארת לתת שכר טוב למי שמאמין בתורת משה:	מזה הצנור מתפשטים החסד לת"ת לתת שכר טוב וכו'
Halfan_0064	Halfan_0063	27	מזה הצנור נמשך ענף א[חד הנקרא הוא והוא כלל] מצות לא	מזה הצנור נמשך ענף אחד הנקרא נצח והוא כלל מצוות עשה כי התורה היתה בכח מן החסד אמנם עיקר הפחד לצאת מן הכח אל הפועל הוא תפארת אבל במ[ ]ה נמשך אל נצח רצה לומ' מאור מ"ע אמנם הכל מתפאר ע"י שליח והחכמים המת[כונני]ים בנצחים על ידי שליח הם מתכוננ[ים]
Halfan_0064	Munic_448_0047	27	מזה הצנור נמשך ענף א[חד הנקרא הוא והוא כלל] מצות לא	מזה הצינור נמשך ענף אחד. ומצנן הנקבה משור הבר
Halfan_0069	Halfan_0210	18	מזה הצנור מתפשט נהר היוצא מעדן להשקות את הגן היבש מצד הזוהמא ולא יתגבר הזוהמא בעבור זאת ההשקאה וזה הצנור קיום העולם	מזה הצנור מתפשט הנהר היוצר מעדן
Halfan_0070	Halfan_0212	16	מזה הצנור מתפשט הזרע הלבן הנוטה אל האודם כלול מלבן [עונת] ת"ח	מזה הצנור מתפשט [זרע] האודם אל הלובן וכ[ו']
Halfan_0070	Halfan_0211	25	מזה הצנור מתפשט הזרע הלבן הנוטה אל האודם כלול מלבן [עונת] ת"ח	מזה הצנור מתפשט הזרע הלבן וכו'
Halfan_0070	Magnificant_0279	16	מזה הצנור מתפשט הזרע הלבן הנוטה אל האודם כלול מלבן [עונת] ת"ח	אלהים צבאות אור לבן נוטה אל האודם ענף הגבורה נאצל ממנו וחס"ד וגבור"ה השרשים ונצ"ח והו"ד נקראים ענפים. אלהים צבאות והיא המושכת הגבור"ה והדין והעונש במדת אל ח"י הנקרא יסוד נקרא יסו"ד וזהו סו"ד אני ה' עושה כל. למודי ה' אלו הב' מדות נקראות מתלמיד"י חכמה וע"כ מרבים שלום וסודם בניך למודי ה' ורב שלום בניך הו"ד בהיותו מתלבש במדת הגבורה והכח להשפיל מדת האויבים ולהציל אוהבי ה' והסוד והודי נהפך למשחית. ולפי שזהו מקום ניצוח המלחמות ועושות ניסים אצל המקום נאמרים ההודאות מיני הודות שאמר דוד אצל ב' מדות אלו סמוכות בסוד יודו לה' חסדו הודו לה' טוב  ולמנצח וכו'.  בועז סוד העמוד השני שעשה שלמה ע"ה שניהם ר"ל יכין ובועז נקראים שוקים והסוד שוקיו עמודי שש מיוסדים אדני פז. באלו המלות רמוז הבנין ודע המקום שהוא נצ"ח והו"ד ויסו"ד שהוא שוקיו עמודי שש משם נבראו השרפים השנים הנקראים בעלי שש כנפים. ונקראים שרפים שורפים לכל אדם שאינם חוששים לכבוד קונם כשהם מסתכלים במעשה מרכבה ועוסקים בסוד חשמל ומשתמשים בשמות הכת"ר בועז שמקבל עז הגבורה. שחקים אלו שתי היכלות מכינים מזון לצדיקי' צדי"ק וצד"ק בהיות ישראל צדיקים כאלו מסייעים המרכבה העליונה מסודרת ורוכב שמים ת"ת בעזרתם ישראל שנ' רוכב שמים בעזרך ובגאותו שחקים. עצם השמים עצם השמים ממש מלאכי אלהים העולים והיורדים והמשכיל יבין. הררי ציון ר"ל נצ"ח והו"ד הררי יסוד מקום יניקת הנביאים נצח היכל נצח שבט מישור.
Halfan_0073	Halfan_0071	15	מזה הצנור מתפשט זרע האודם אל הלובן כלול מאודם זהו עונת ת"ח מערב	ת"ח מערב שבת לערב שבת ומן הזרע הנמשך מזה הצנור נתהוו הזכרים א"כ הזרע
Halfan_0073	Halfan_0212	30	מזה הצנור מתפשט זרע האודם אל הלובן כלול מאודם זהו עונת ת"ח מערב	מזה הצנור מתפשט [זרע] האודם אל הלובן וכ[ו']
Halfan_0073	Halfan_0211	15	מזה הצנור מתפשט זרע האודם אל הלובן כלול מאודם זהו עונת ת"ח מערב	מזה הצנור מתפשט הזרע הלבן וכו'
Halfan_0076	Halfan_0213	40	מזה הצנור מתפשט הזכות אל העולם הבא ולזכות מי שראוי	מזה הצנור מתפשט הזכות אל עולם הבא
Halfan_0076	Magnificant_0322	20	מזה הצנור מתפשט הזכות אל העולם הבא ולזכות מי שראוי	מזה הצנור נמשך הזכות אל עולם הבא והסוד ויעקב איש חלק
Halfan_0078	Halfan_0214	27	מזה הצנור מתפשט החובה לעולם הבא לתת עונש לפושעי ישראל חוץ	מזה הצינור מתפש[ט] החובה לעולם הבא וכו'
Halfan_0080	Munic_448_0054	21	מזה הצינור נמשך חוט של חסד למלכות בית דוד ולכנסת כשישראל מקיימים מצות עשה הנמשכים מנצח ועל זה אמרו	מזה הנתיב נמשך חוט של חסד למלכות בית דוד ומאותו חוט עולים ישראל לגדולה ויסתלק הזוהמא והסוד אסתר ירקרוקת היתה וחוט של חסד משוך עליה.
Halfan_0080	Halfan_0215	42	מזה הצינור נמשך חוט של חסד למלכות בית דוד ולכנסת כשישראל מקיימים מצות עשה הנמשכים מנצח ועל זה אמרו	מזה הצנור נמשך [   ]  למלכות בית דוד ול לכנסת ישראל כשישראל מק[יימים] מצות עשה וכו'
Halfan_0081	Munic_448_0054	42	ארז"ל אסתר ירקרקית היתה וחוט של חסד משוך עליה ומזה החוט מתברך כל העולם:	מזה הנתיב נמשך חוט של חסד למלכות בית דוד ומאותו חוט עולים ישראל לגדולה ויסתלק הזוהמא והסוד אסתר ירקרוקת היתה וחוט של חסד משוך עליה.
Halfan_0081	Halfan_0159	21	ארז"ל אסתר ירקרקית היתה וחוט של חסד משוך עליה ומזה החוט מתברך כל העולם:	מלכו"ת  נקראת כן בעבור שכל הנהגת העולם על ידה. פ"א מלכות תו"ך מ"ל כי שבעים שרים יונקי' כחם והשפעתם ממנה כד"א ותתן טרף לביתה וחק לנערותיה  וכן הכפירי' שואגים לטרף  וכו' פ"א ות"ל מ"ך כי הע' שהיא הירח הוא מך ומקבלת אור מן החמה הרמוז במילת תלפיות. פ"א וכ"ל ת"ם ר"ל כי המדה העשירית מושכת השפע מן הקו האמצעי הנק' תם: ישראל פי' י"ש רא"ל הש"ה נק' י"ש הנאצלת מן האין והתורה הקדומה נקרא' יש שהם כ"ב אותיות המתגלגלו' לרל"א שערים התלוים בגלגל שהוא רמז לת"ת הנרמז בישראל [היא] מבארם [ומוציאה]  הדברים מן הכח אל הפועל: שכינה פי' שכן יה כי היא מנהגת [העולם] השפל. ועוד כי השכל הפועל [הוא השכ]ל העשירי ואם תמנה מן א' עד י' בחשבון שמיי ובחזרת הגלגל יעלה בידך שכינה: גבורה פי' שיניקתה מן החסד שנק' פני ארי"ה ופחד שנק' גבורה ואריה וגבורה שוים: תהילה פי' בהיותה כלולה [בתפארת] הנקר' [תם ותהלה] בגי' ת"ם. ואם תוסיף המלה יעלה אמ"ת: קרן [המשיח] פי' קרן ל[שו]ן אורה כמו כי קרן אור פניו:  דוד פי' בגי' י"ד וע"ט נרמזת במלת יד ע"ש הפעולה וע"ז נאמר וירא ישראל את היד הגדולה: קסר ופלג[א] פי' קסר הוא השר הגדול ופלגא שני לו כן קסר רמ[ז] למלכות הלוחמת מלחמות השם ופלגא רמז ל[  ]  הלוחמת מלחמות השליח: פני נשר פי' שר [נ'] ר"ל כי ההשגחה וההשפע' מהשר הידוע הוא בכח נ' שערי בינה: צפון פי' כי בהצפן החמה יהיה חשך: ים פי' כל הנחלים שהם ההויות נמשכי' אל הים שהיא העט' והים איננו מלא ר"ל במלת והים יש בו יה"ו וע"ז אמ' אינ[נו] מלא כי חסר ה"א אחרונה מן השם: ימין פי' בהיות ההויה הזאת מתעלת אל החס"ד אז נק' י[מין]: אמונה לשון יניקה פ"א אמונה אמ"ן ו"ה ר"ל שם של כ"ו הרומז לת"ת הרמוז באות וא"ו ושם של אדנ"י הרמוז לעטרת הנרמזת בה"א ושניהם יניקתם מן הש"ה הרמוזה במלת אמ"ן ואלו בג הב שמות בגי' אמ"ן וזהו גדול העונה אמן מן המברך:  ברי"ת פי' בהיות העשירית כלולה מתרי"ג מצות. ומלת ברית עם המלה עולה תרי"ג ולכן נקר' התורה ברית כד"א אם לא בריתי יומם ולילה:  מלח הוא לשון מורה קיום כמו המלח: היא פי' בהיותה רמוזה בה' אחרונה של שם ואם תמנה האותיות הקודמות אל ה"ה באלפא ביתא יעלה י"ה ועם המלה היא: תורה שבע"פ ומצות ל"ת כי הלאוין נמשכי' ממ"ה וכל לאו הוא בע"פ כי חז"ל לא הוסיפו על עשה אלא על לא תעשה ומטעם זה אתי עשה ודחי לא תעשה מטעם והוא ימשול בך: אש שחורה פי' המקובלים יחסו כל ההויות במלת אש: האש הגדולה כל אותן מלאכי דין נקראי' אישים ע"ש שעל ידם מתגלה התאוה ומתקיים המיני' האנושים: קש"ת פי' בגי' צד"י ארוכה שהיא רמז לי' שהוא סוף המעשה וצד"י ארוכה בגי' תשע מאות בחזרת הגלגל יעלה כל המספר תשע מאות והצבעי' מורים עניין פנימי והם לבן שחור ירוק. לבן ע"ש חש"ח  הנמשך לירח שחור ע"ש שור הבר הנזקק עם בת זוגו ירוק כמאמרם ז"ל אסתר ירקרוקי' היתה וחוט של חסד נמשך עליה: חרב פי' כי היא מדת הדין והיא חרב לרשע שהיא לשון קשור  ולא הרחבה רח"ב לצדיק המורה השארות נצחי ולא תחשוב שהם דברים הכרחיים אלא בח"ר ובחרת בחיים וכל מי שבוחר הטוב ההוא חב"ר ומחבר הכל ביחוד שלם ואזי ברח מכל אותם הקליפות החצונות: חרב המתהפכת פרז"ל  פעמים אנשים ופעמים נשים כשיש' עושים רצונו של מקום אזי מתלבשת בחסד שמשם נמשך היצר הטוב הנמצא באדם כי ע"כ נקר' אדם באמת כשיש' אינם עושים רצונו של מקום אזי היא מתלבשת מן הפחד שמשם נמשך היצר הרע המצוי באשה יותר מבאיש: חרב נוקמת כד"א חרב נוקמת נקם ברית לעוברים על דת: מלחמה פי' שהיא לוחמת מלחמת השם. פ"א מח"ל מ"ה שהמחילה במ"ר שהוא מ"ה בחשבון שם כ"ו במלואו פ"א מלח  אעפ"י שכל הנהגת העולם ע"י מלח שהוא רמז לע' שהוא מכח מ"ר שהוא רמז לקו השוה. פ"א מ' לח"ם ה'  ר"ל המזון והפרנסה הבאה לעולם היא בכח מ' סתומה שהוא רמז לת"ת ובכח ה' אחרונה ע"כ תמצא לחם בין מ' וה': פגיעה כי היא חרב נוקמת לרשע וג"ע לצדיק: יראה פי' כל דבר תחתון ירא ממה שלמעלה ממנו: שבת היסוד הוא עיקר שביעי והוא שבת ובעבור כי כנסת יש' הוא בת זוג לשבת נקר' גם היא שבת במלת שבתותי רמז זכור ושמור:  כבוד לילה פי' כל דבר חושך רמוז למ"ה ומלת כבוד בגי' לב כי כל הדברי' נאצלו מהשניה: כלה כי היא כלולה מן הכל: מלכה בהיותה עם המלך שהוא רמז לבינ"ה במסיבו אזי נקר' היא מלכה. פ"א כ"ל מ"ה שנק' כל בהיותה כלולה מכל ההויות הנרמזות בשם כ"ו שהוא מ"ה: את פי' שהיא כוללת כל האותיות שהם בכלל ל"ב נתיבות: ערב פי' כחות הטמא' הנק' רמ"ש המטילים בה זוהמא לקבל כחם ממנה: דמדומי חמה פי' שנאצלו תאומים חמה ולבנה ודומים זה לזה: לבנה פי' לבן ה' שחש"ח משוך עליה פ"א בגי' פז שהוא בגי' אלהים עם מלתו ואם תוסיף אותיות לבנה יעלה אמן: נוגה פי' ג"ן ו"ה כי ו"ה רמז לעולם העליון הנק' גן ועט' הכוללת הכל נק' גן עו' נוגה עם מלתו עולה בחשבון אדנ"י: חודש פי' ו"ד ח"ש וכו' סוף דבר הצירוף מורה לנו הפעולות הנמשכות בעת רצון והנמשכות בעת הזעם בעת רצון אזי החודש ו"ח ד"ש ו"ח בגי' י"ד והיא היד הגדולה ואז השפע מתרבה במי שזורה ודש ובעת הזעם אז היד החזקה ו"ח ש"ד שהי"ת נתן רשות למקטרגי' על אותם שגורמים שולטנותם וזהו סוד קרבן ר"ח בכח זה הצירוף תבינהו: שנה בגי' ספירה וכבר ביארנו בספי' חס"ד: פנים בעבור שהכל מתגלה על ידו: אחורים להיותה תכלית הבניין ואחריתו פ"א אחורים רו"ם אח"י מלת רום בשורק רמז לקו האמצעי ונק' א"ח והעט' אומ' לשכל האנושי בעת ההתדבקות לא תחשוב שהשלמות שלך בא ממני לבד אלא מרום אחי שהוא הקו:   תמונת השם רמז לק"ו האמצעי והתמונה הכלולה רמז לעשירי': מראה פי' מרה א' כי בהסתלק הא' שהוא רמז לק"ו האמצעי היונקת מן המוח אזי המים התחתוני' מרים בהזדווג שור הבר עם בת זוגו: עין בהפוכו עני כי היא המקבלת מן הצדקה: קשר של תפילין התפילי' רמז לה' אחרונה והם ה' בתים ומלכות קושר הכל: חכמה פי' כ"ח מ"ה כי כחו משם כ"ו שבמלואו עולה מ"ה: חכמת שלמה פי' שנא' בו והשם נתן חכמה לשלמה  שוהשם הוא ובית די[נו]: בתו של א"א הכונה בהיותה למטה מן החס"ד ול"ד שלא היה לו בת כוונתו שהיא [למטה] מן הפחד: מגן פי' ג"ן מ' כי רגל ד' שבמרכבה הוא כלול מן הכל: מקום שם כ"ו במספר המרובע עולה מקום: שם פי' שהוא מט"ט ש"ה וזהו ויתייצב עמו שם:  [ש]ם כמו נעשה לנו שֶם שהשליטו מט"ט ש"ה: אני פי' אי"ן ועם המלה והאותיות יעלה א[דנ"י: בת] קול כי משם הסתכלות הנביאי' נבואתם וזהו בת קול ולא בן קול כי הוא אור הגנוז: פי ה' ע"ש שהכל מתגלה על ידה ופי עם המלה יעלה צ"א כחשבון הב' שמות הידועי':  אצבע כשהיא פועלת מכחה והראיה אצבע אלהים היא:  פל"א פי' כי תחלת המחשבה ה[    ]  כי האחרונה רומזת בץ' ארוכה ועולה ט' מאות ואחר ט' מאות יחזור לאלף בחזרת הגלגל:
Halfan_0082	Magnificant_0906	33	מזה הצנור פרץ הגדר אדם הראשון ונתן מקום לנחש להטיל זוהמה לחוה כי קודם שחטא אדם הראשון הנחש היה חוץ לפרדס ולכן אז"ל אדם	בכאן   פרץ גדר אדם הראשון ונתן מקום לנחש הקדמוני הנחש עומד גם בזה המקום נמשך מהגבורה עומד בזה המקום עם עשר ספירותיו הנלוים עליו והספירה הראשונה נקרא לבן הארמי והאחרונה לילית וקודם שחטא אדם הראשון והכניס צלם בהיכל היה ראוי העולם להשיג האור הגנוז עתה הערלה סותם אדם בסבת הקיצוץ ועבר ברית פרץ גדר ונכנס הנחש והיטיל זוהמא בחוה ופרצה קורא לנגב והסוד ותקע כף יר"ך יעק"ב בגי"ד הנש"ה ולכך אסור גיד הנשה והמשכיל יבין ופקח עיניך בסוד ולבן שתי בנות שם הגדולה לא"ה ושם הקטנה רחל ופסוק שני המאורות מחשוף הלבן העליון וסוד התרפים ויעקב אהב רחל ומאמרו ע"ה הסירו אלהי הנכר
Halfan_0082	Halfan_0216	45	מזה הצנור פרץ הגדר אדם הראשון ונתן מקום לנחש להטיל זוהמה לחוה כי קודם שחטא אדם הראשון הנחש היה חוץ לפרדס ולכן אז"ל אדם	מזה הצנור פרץ הגדר אדם הראשון ונתן מקום לנחש להטיל זוהמה לחוה וכו'
Halfan_0089	Halfan_0091	22	אמנם הערלה גוברת בזמן הגלות ומטיל זוהמא לחוה דרך זה הצינור ובעבור זה אסר לנו תורתינו הקדושה גיד הנשה בעבור ששרו של	ובעבור שהנחש שהוא אב הטומאה כשהטיל זוהמא על חוה נמשך דרך זה הצינור הנרמז בגיד הנשה ובעבור זה אסרה התורה גיד הנשה:
Halfan_0091	Halfan_0089	18	ובעבור שהנחש שהוא אב הטומאה כשהטיל זוהמא על חוה נמשך דרך זה הצינור הנרמז בגיד הנשה ובעבור זה אסרה התורה גיד הנשה:	אמנם הערלה גוברת בזמן הגלות ומטיל זוהמא לחוה דרך זה הצינור ובעבור זה אסר לנו תורתינו הקדושה גיד הנשה בעבור ששרו של
Halfan_0113	Brescia_0031	11	<חכמה 1> ספירת החכמה היא א' תחלת מחשבת החכמה הנאחזת בכתר הנקרא אין סוף שהוא סוד המציאות [הנסתר]ת והחכמה נ[קראת ב]כל מקום ע[ומק ועליה] אמר הכת[וב ממעמקי]ם קראתיך [ייי ונאמר] מאד עמקו מחשבותיך לפי שהוא סוד המחשבה ואין דרך להגיע לה אלא ע"י הבינה. שנאמ׳ מים עמוקי׳ עצה בלב איש ואיש תב' תבונות ידלנה. ונא׳ רחוק מה שהיה ועמוק עמוק מי ימצאנה וזהו סוד עומק רום עומק תחת ועומק מזרח ועומק מערב ועומק שהיא מקפת כל הספירות תחת הכתר וכל הנמצאי׳ ככל האומות אינם משיגי׳ לשם והיא סוד אותיות יו"ד של הוי"ה ית' והכתר העליון נאחזת בקוצה ועליה נאמר בכל מקום עלה במחשבה. ונקראת חכמה ראשונה ונקראת בכל מקום עד"ן ונקראת י"ש כענין שנא' להנחיל אוהבי י"ש ואוצרותיהם אמלא. ומספירת חכמה ולמטה סדרי הדיינים וכל הגוונים. ופנים ואחור ולבן ושחור ואין דרך ואין עניין ליכנס לידיעת דבר זה לשום נברא בעולם לדעת דבר על בוריו. (ועל) <חכמה 2> ועל ספירות הללו נאמר וחנותי את אשר אחון ורחמתי וגו׳. והספירה הזאת יש לה ל"ב מבועין שבהן נאצלו ל"ב נתיבות חכמ"ה וכל מעשה בראשית בה נעשו לפי שהיא נקראת ראשית וכתי׳ כלם בחכמה עשית מלאה הארץ קנייניך. ונאמר בר"א שי"ת בר"א אלהים את והנה חותם כל התכונה וכל מיני האצילות.	סוד החכמה היא סוד אות של שם יו"ד ה"א וא"ו ה"א והכתר העליון הוא הנאחז בקוצה ועליה נאמר עלה במחשבה והיא הנקרא חכמה ונקראת בכל מקום י"ש וזו היא הנחלה הגנוזה להתעדן לצדיקים לעתיד ועליה נאמ' להנחיל אוהבי י"ש ומן הספירות החכמה למטה הן סדריה הדינין ואין דרך להכנס לידיעת זה לשום נברא בעולם וכל מעשה בראשית בה תעשיה  לפי שהיא קדמה לכל והיא הנקרא' ראשית וכת' כלם בחכמה עשית
