DocName	MatchingDocName	MatchPercentage	Doc	MatchingDoc
Magnificant_0006	Magnificant_0631	27	והנברא הראשון השכל אבל הסבה הראשונה אינה שכל יוצר השכל  הבלתי בעל תכלית המציאות הנצחות החיים אור נקי ולפני אחד יוצר הכל.	הנמצא היוצר הראשון הבלתי בעל תכלית והנמצא השני הנברא בלתי בעל תכלית השכל ומבואר א"כ שהסבה הראשונה אינה שכל נפש לא טבע אך השכל הנפש הטבע ויוצר  השכל ויוצרת הנפש והטבע ונותנת להם המציאות בדרך יציאה אמנם החיים הראשונים נותנים החיים לאשר תחתיהם לא בדרך יצירה אך בדרך צורה השכל
Magnificant_0021	Halfan_0109	68	יַהְהַ אַהִי הַוְוְ אִיַה בִיַה גִיַה דִיַה הִיַה וִיַה זִיַה חִיַה טִיַה יִיַה כִיַה לִיַה מִיַה נִיַה סִיַה עִיַה פִיַה צִיַה קִיַה רִיַה שִיַה תִיַה	איה ביה גיה דיה היה ויה זיה חיה טיה ייה כיה ליה מיה ניה סיה עיה פיה ציה קיה ריה שיה תיה:
Magnificant_0022	Munic_448_0003	27	ואלו השמות משוה שלש ספירות יהו"ה אלה"ינו יהו"ה אחד והבא אחריו כוז"ו במוכס"ז כוז"ו שם בן י"ד אותיות	כוזו במוכסז כוזו זה השם בן י״ד אותיות נכבד ונורא ומשוה ה״ג' הויות ראשונות
Magnificant_0048	Magnificant_0435	32	ובזה הרוח השני הנברא מהראשון חקק וחצב כ"ב אותיות ולכל המובן מדברי בעל ס"י והוראתו שהספירות העשר העיקר הראשון והקרוב אליהם במציאותיהם כ"ב אותיות ושני ענינים שקראם ל"ב נתיבות פליאות חכמה חקרת ודרשת היטב בספר יצירה והבן	הבין הכ"ב אותיות יסוד גלגל ה"י ר"ל גלגל האותיות הגלגל המעולה שבכל גלגלי המציאות גלגל ראשון במעלה וקודם לכל גלגלי המציאות גלגל התורה והמצוה העליונים ותחתונים מתנהגים פיו ועליו נאמר בדבר ה' שמים נעשו והרוח פיו צבאם וכבר קרא בעל ס"י אחד ראשונה ואמר אחת רוח אלהים ואמר קול ורוח ודבור להן רוח הקדש וגם קראו ספירה שניה באמרו שנים קול לרוח  שתף שם רוח לשתי הענינים שהדיבור הראשון הפנימי רוח הקדש והדיבור השני החיצון הדיבור וסוד ויהי האדם לנפש חיה תרגום והוה האדם לרוח ממללא ומזה תבין סוד חיות אש ממללות שפעמים חשות ופעמים ממללות ח"ש מ"ל חש ממהר התנועה מל פוסק מהתנועע חש שותק סימן חשבון ומחשבת מל סימן תדבר סימן שלו תדבר שתיהם ותמצא בונות רמז שתי אבנים בונות שתי בתים כלם ושם נאמר ברוח השני הנמצא מהראשון חקק וחצב כ"ב אותיות. יחודם בדברים כלם שהספירות הם העיקר הראשון והקמים אליהם באמצעות כ"ב אותיות ושני הענינים שבראן ל"ב נתיבות פליאות החכמה
Magnificant_0048	Magnificant_0677	27	ובזה הרוח השני הנברא מהראשון חקק וחצב כ"ב אותיות ולכל המובן מדברי בעל ס"י והוראתו שהספירות העשר העיקר הראשון והקרוב אליהם במציאותיהם כ"ב אותיות ושני ענינים שקראם ל"ב נתיבות פליאות חכמה חקרת ודרשת היטב בספר יצירה והבן	תבין עוד בענין הל"ב נתיבות מה שנא' בס"י והמובן שם שברוח השני הנברא מהראשון חקק וחצב כ"ב אותיות. ומכלל דבריו מובן שהספירות העשר העיקר הראשון והקרוב אליהם במציאות כ"ב אותיות ושניהם ר"ל השני ענינים הנזכרים קראם ל"ב נתיבות פליאות חכמה ואמר שבהם חקק י"ה יהו"ה צבאות ובכל הספירות יש נתיבות ושמות וספרים מה שבמעלת א' נקרא נתיבות מה שבמעלת ב' נקרא שמות מה שבמעלת ג' נקרא אותיות ומה שבמעלת ד' נקרא ספרים וכלם כלולים בעשר ספירות והי"ס כלולים בשם בן ד' ובענין ממש ענין עילו"ם רשימ"ה חקיק"ה חציב"ה  מעשה וכאשר יקשה לך הציור במה שהרשית להתבונן רוץ לנגלה בעולם ובשנה ובנפש נחוה ענין האלהי ומראה דמות כבוד מה שבעולם ר"ל בעולם הספירות דמיונו בשנה ר"ל בזמן שהוא תנועת הגלגלים גם בנפש ר"ל בגוף השפל שהוא האדם כצל אצל האצל וזהו ומבשרי אחזה אלוה כאשר נכיר דרכי השכל מדרכי הדמיון וההרגש המדומה אצל דמיון המדמה פועל הדמיון בעצמו וגם ממנו מתפעל כח הדמיון שהוא המדמה והמורגש אצל ההרגש המרגיש הוא פועל ההרגש בעצמו וגם ממנו מתפעל כח ההרגש שהוא המרגיש והמושכל אצל השכל המשכיל פועל השכל בעצמו וגם ממנו מתפעל כח השכל שהוא המשכיל הנה שנבין מדרכי הדמיון וההרגש דרכי השכל ומדרכי השכל נבין בצורת השכל יתברך ויתעלה
Magnificant_0049	Magnificant_0756	16	אלו הל"ב נתיבות כחי  המציאות נקראים בשם אלהים בפרשת בראשית נאצלו מכאן	וביאור ענין עילום ורשימה וחקיקה וחציבה ומעשה כשעלה במחשבה והרצון להבראות העולם אותו הרצון והחפץ שנתגלה כינוהו המקובלים לשון מחשבה וכשנאצלה אותה המחשבה נתפרסמה עוקץ יו"ד משם העצם האור המתנוצץ לתר"כ ניצוצות ומפליאת האחדות השוה נמשכות ל"ב נתיבות פליאות ר"ל נעלמות ובהיות אלו הל"ב נתיבות בכח המחשבה נקראים הדברים עילום ובצאת הדברים הנעלמי' במחשבה הכח אל הפועל באמצעות החכמה נקראים הדברים רשימה ר"ל הל"ב נתיבות חכמה הנמשכות מרום מעלה ומא"ס נקראות אז רשימה ונתפרסם עובי יו"ד שם העצם:
Magnificant_0049	Magnificant_0610	16	אלו הל"ב נתיבות כחי  המציאות נקראים בשם אלהים בפרשת בראשית נאצלו מכאן	והקו[אס] הסובב ל"ב מדות הנתיבות כפי המציאות שנאצלו -
Magnificant_0050	Magnificant_0675	25	אור מופלא ר"ל מושכל וקדמון כבוד ראשון אין בריה יכולה לעמוד אמתתו	אמרו בעלי הקבלה כשהוסיפו לחקור בעצם המציאות כשעלה בדעת' ית' החפץ המבוקש האציל בכח שמו מעצם החפץ ל"ב נתיבות פליאו' חכמה ואותם הנתיבות נאצלו המקור הנסתר והנעלם אין בריה יכולה לעמוד אמתתו ואין רעיון יכול לעמוד מציאותו ונלאו מהשיגו ולכן פליאות ר"ל מכוסות הנתיבות כלם  נכללו בג' ספרים ג' שמות אלו יהו"ה אהי"ה אדנ"י וכלם ר"ל הנתיבות התבניות ההם נכללו בספר וספר וספור ר"ל בג' אותיות שי"ת שהוא יה"ו כנגד השכל והמשכיל והמושכל והדיעה והיודע והידוע והל"ב נכללים בי"ה יהו"ה צבאות ג"כ ואחרי חזר וכללם בם לפרש השם מד' אותות
Magnificant_0069	Halfan_0106	18	שכל הרצון שהוא תכונת היצורים ובזה השכל יודע מציאות בחכמה  הקדומה	פי'  כתר המחשבה היא העשירי' מלמטה למעלה והוא כולל י"ס שהם כנגד עשרת הדברות (ש) שמספר אותיותיהם כתר וסודם כתר תורה שסודו עשרי"ם ושש"ה שהוא כ"ו הכולל כל ההויות הרי לך בכח הצרוף שהמחשבה כוללת הכל: ומן הצרוף השני שהוא כר"ת בסדר שלשה אבנים בונות <כתר 2> ששה בתים מורה כי מי שנכנס באלו החכמות בדרך עקומה ויחשוב דברים נפרדים יהיה נפשו נפרדת מהאור העליון: ומן הצרוף השלישי שהוא תר"ך והוא לשון הוראה (מו) מורה שהמחשבה מורה דרך הישר לבא אל בית המלך פנימה. ומן הצירוף הד' שהוא תכ"ר נתבאר לך כי אין אדם מכיר את בוראו עד שינקה מחשבתו מכל המונעים ובהעדרם ראוי להשתמש בכח מחשבתו הנקיה ברבה ובזוטא (כ) כאברהם אבינו  ומצרוף הה' שהוא רכ"ת כי כל עוד שהאדם יצרף ויבחן מחשבתו אז ירכבו אליו כל סוד פנימי אעפ"י שהוא קשה להבינו כי א"א להשיג החכמה האלהית אלא אחר נקוי רב. ומצר[וף] הו' שהוא רת"ך תבין שהמחשבה הוא סוד ויסוד כלל המרכבות: אוי"ר  דע לך שזאת המילה כוללת כל ההויות הא' לראשו׳ הו׳ לו' קצות [הי'] לחכמה הר׳ ל[בינה]  <כתר 3> [בצורת נ' רמז לנ' שערי בינה ועוד כי אוויר]  לשון רווי כי [משם התפשטות הכל: קדמו"ן  מורה א"ס נקוד"ה כי הנקודה אין לה מציאות אלא חוץ לשכל וכל קצוותיו אין לה קיום בלעדה כן ייי ית' מציאותו החזק הוא חוץ לשכל וכל קצוותיו אין להם] קיום בלעדה. [כן האל יתברך] מציאותו החזק הוא [חוץ לשכל] אע"פ שיש לו [מציאו]ת בשכל וכל הקצוות אין להם קיום בלעדו ועו' כי [היו"ד] היא [נקודה] כצורתה והיא ק[דומה בשם וב]צירופה כזה יו"ד יד"ו וד"י וי"ד ד"יו דו"י סך הכל מזה הצירוף ק"כ ואותיותיו י׳׳ח [ומ]לותיו ו' סך הכל קד"ם רמז [קדם] מפעל[יו] מאז פי׳ קדם שהיה [ההויה] הראשונה מפעליו פרסו' [פעולותיו באמ]צעות א׳׳ז הרמז [ה]א"ם והבני"ם.  [אהי"ה הטעם כי] הספירות [יש להם גלגול כשנת] היובל [שחוזרות אל מקום] אצילותם [וזהו בשנת היובל הזאת תש]ובו וכו׳  <כתר 4> תשובו וכו׳ אבל הספירה הר"ה לעולם עומדת שלא יהיה לה גלגול ומלת אהי"ה מורה קיום לכן כשאמ׳ [משה] להב"ה מה שמו וכו׳ השיבו  אהי[ה] שלחני אליכם להורות כי ישראל אינם נמסרים לא למלאך ולא לשום שר כשאר האומות שאינם קימים כי אם אל הסיבה [הראשונה] ובזה הבטיחם כשאמ' אהיה שלחני אליכם: קוצ"ה של [יו"ד]  [כל] דבר דק מורה ה[עלמה]: נשמ"ה כי כל הנשמות נאצלות משם: אי"ן  פי' ומותר אדם מן הבהמה אין שיש להם יתרון מן הבהמה. אין נוטרי' א'הבה י'ראה נ'אמנות: א[ל]ף בצורתה א'  שהוא עשרי' ו[שש]ה שסודו עשרת הדב[רים]. [רו"ם] שמי"ם רמז לת"ת ישראל רו"ם מעל"ה פי' כי למעלה [מן] המחשבה אין רשות להרהר כלל. רום בחול"ם כי נקודת ח[ול]ם למעלה מכל ההברות כן המחשבה למעלה מכל הכחות ולצרוף הראשון חל"ם תורה לג' הויות <כתר 5> (הויות) ח׳ חכמה ל׳ לבוש והוא רמז לבינה מ' מחשבה. ולצרוף השני חמ"ל והוא לשון חמלה כי החמלה במ"ר פשוטים שהוא המחשבה והמחלה הוא קיום כל הנמצאי'. ולצרוף הג' לח"ם והוא מזון כל חי מורכב וכאומ׳ למה נמות לעיניך  כי אין לחם  תבין מלת א"ין: ובצרוף הד׳ למ"ח הוא לשון מו"ח כי כשמוח האדם מזוקק ראוי להכנס לשכל הראשון שהוא חלם: ולצרוף ה׳׳ה מח"ל כי מחילה וסליחה נמשכ׳ מחלם שהוא סו' מחשבה ולכן יה׳׳כ רמוז אליה שהיא יום מחילה וסליחה:  ולצירוף הו׳ מלח כי המלח היא מקיים ושומר כל דבר כן כשהאדם מזכך המחשבה נקוי רב יכנס בהיכל המלך ויהיה לו השארות נצחי: ישרא"ל סב"א שישראל [שומרי' וזאת] הבריכה: מעשר  בסוד אי"ק שהם כהן לוי וישראל כתר הוא כהן חכמה לוי בינה ישראל וזהו חיוב מאה ברכות בכל יום וכו׳
Magnificant_0125	Brescia_0030	27	נקראו שערים פתח פתוח לקבל שפע החכמה להוציא דבר מהכח אל הפועל כעניין שנ' מים עמוקים עצה בלב איש ואיש תבונות ידלנה	ספירת החכמה היא המחשבה הנאחזת בכתר הנקרא אין סוף שהוא סוד המציאות הנסתרות והחכמה הנקרא בכל מקום עומק ועליה אמר הכתו' ממעמקים קראתיך יי"י ואומ' מאד עמקו מחשבותיך לפי שהוא סוד המחשבה שאין דבר יכולה בעולם להשיג במקום זה המחשבה קצת ואין דרך להגיע לה אלא ע"י הבינה מים עמוקי' עצה בלב איש ואיש תבונות ידלנה וכתו' רחוק מה שהיה ועמקו עמוק מי ימצאנה וזהו סוד עמוק רום ועומק תחת עומק מזרח ועומק מערב עומק צפון ועומק דרום לפי שהיא מקצת לכל הספירות
Magnificant_0125	Halfan_0113	27	נקראו שערים פתח פתוח לקבל שפע החכמה להוציא דבר מהכח אל הפועל כעניין שנ' מים עמוקים עצה בלב איש ואיש תבונות ידלנה	<חכמה 1> ספירת החכמה היא א' תחלת מחשבת החכמה הנאחזת בכתר הנקרא אין סוף שהוא סוד המציאות [הנסתר]ת והחכמה נ[קראת ב]כל מקום ע[ומק ועליה] אמר הכת[וב ממעמקי]ם קראתיך [ייי ונאמר] מאד עמקו מחשבותיך לפי שהוא סוד המחשבה ואין דרך להגיע לה אלא ע"י הבינה. שנאמ׳ מים עמוקי׳ עצה בלב איש ואיש תב' תבונות ידלנה. ונא׳ רחוק מה שהיה ועמוק עמוק מי ימצאנה וזהו סוד עומק רום עומק תחת ועומק מזרח ועומק מערב ועומק שהיא מקפת כל הספירות תחת הכתר וכל הנמצאי׳ ככל האומות אינם משיגי׳ לשם והיא סוד אותיות יו"ד של הוי"ה ית' והכתר העליון נאחזת בקוצה ועליה נאמר בכל מקום עלה במחשבה. ונקראת חכמה ראשונה ונקראת בכל מקום עד"ן ונקראת י"ש כענין שנא' להנחיל אוהבי י"ש ואוצרותיהם אמלא. ומספירת חכמה ולמטה סדרי הדיינים וכל הגוונים. ופנים ואחור ולבן ושחור ואין דרך ואין עניין ליכנס לידיעת דבר זה לשום נברא בעולם לדעת דבר על בוריו. (ועל) <חכמה 2> ועל ספירות הללו נאמר וחנותי את אשר אחון ורחמתי וגו׳. והספירה הזאת יש לה ל"ב מבועין שבהן נאצלו ל"ב נתיבות חכמ"ה וכל מעשה בראשית בה נעשו לפי שהיא נקראת ראשית וכתי׳ כלם בחכמה עשית מלאה הארץ קנייניך. ונאמר בר"א שי"ת בר"א אלהים את והנה חותם כל התכונה וכל מיני האצילות.
Magnificant_0186	Magnificant_0810	28	אם  בינה שמע נא  כמה כחו אדם גדול ואל זיו לקרב  והמשיג מהות הדבור הנמצא בג' מקומו' כנגד ספר ספר וספור  בלב ובפה ובספר יכיר איך בא הדבר מהשם לאדם וידע מהותו וסוד אמתתו ומשם יעלה למדרגת ידיעת  שאר הענינים כלם חיבורי הדברים וישכילם יטעה במחשבת  דמיונו לחשוב שקרים קונו אבל יעבדהו בציור אמת ועבודתו האמיתית עבודת הלב ואמנם צריך שיתעורר  לדעת ג"כ שאין דבור זוהר האור מלשון הנהגה ותרגום. הנהגה דבור וינהג הצאן  שתרגומו ודבר מדבר מלשון דבור והענין המעיד שאין דבור כלי להנהיג המדבר השומע לעשות חפץ צריך או מועיל ואם הדברים מזה המין נשלמו הדברים ההם הנמצאים לפי מה שכוון בהם הדובר בם	ובפה ובספר יכיר איך בא הדבר מה לאדם וידע מהותו וסוד אמתתו ומשם יעלה למדרגת ידיעת שאר הענינים כלם סבת הדברים וישכילם יטעה במחשבת דמיונו לחשוב שקרים קונו אבל יעבדהו בציור אמת ועבודתו האמיתית העבודה בלב ואמנם צריך
Magnificant_0186	Magnificant_0811	12	אם  בינה שמע נא  כמה כחו אדם גדול ואל זיו לקרב  והמשיג מהות הדבור הנמצא בג' מקומו' כנגד ספר ספר וספור  בלב ובפה ובספר יכיר איך בא הדבר מהשם לאדם וידע מהותו וסוד אמתתו ומשם יעלה למדרגת ידיעת  שאר הענינים כלם חיבורי הדברים וישכילם יטעה במחשבת  דמיונו לחשוב שקרים קונו אבל יעבדהו בציור אמת ועבודתו האמיתית עבודת הלב ואמנם צריך שיתעורר  לדעת ג"כ שאין דבור זוהר האור מלשון הנהגה ותרגום. הנהגה דבור וינהג הצאן  שתרגומו ודבר מדבר מלשון דבור והענין המעיד שאין דבור כלי להנהיג המדבר השומע לעשות חפץ צריך או מועיל ואם הדברים מזה המין נשלמו הדברים ההם הנמצאים לפי מה שכוון בהם הדובר בם	שתתעורר שאין דבור זוהר מלשון הנהגה ותרגום הנהגה דבור וינהג הצאן אחר המדבר תרגומו ודבר ית עזאי מדבר מלשון דבור וכבר אמרנו ענין חלוק האותיות היה משולש ג' ראשונה אמ"ש ומן ז' שניים בג"ד
Magnificant_0187	Magnificant_0823	12	וכאשר תדע הכח הדברי הנמצא במין האדם הכח המעולה שבכל המציאות השפל ובעבורם  נאמר שנברא בצלם אלהים בדמות אלהים ובהיות בעל צלם דומה לגלגל שהוא ג"כ בעל שכל צלם וכבר ידעת שהגלגל אדם גדול והאדם עולם קטון ובהיותו בעל דמות דומה לאדם המתדמה בדמות מראה אדם עליו מלמעלה הנק' חשמל וכשהוא אדם שפל מושכל לעצמו בכח הדברי שבו בלתי פועל שלם האחרון ר"ל בכל אלו הענינים שכלם נמצאים אתו בכח וכשהוא אחת מאלו הפעולות הנמצאות בכח הכח אל הפועל נמצאו אתו שלשתם בפועל שלם אחרון ומתנבא פי הדבר הוציאו הכח אל הפועל השלם האחרון שבהוא  דבר אחד בלתי נפרד בעת הפועל ההוא	ומפני הכח הדברי הנמצא במין האדם שהוא הכח המעולה שבכל המציאות השפל נאמר בעבורו שהוא נברא בצלם אלהים ובדמות אלהים ובעבורו יתכן לדעת מהותו ועצמותו ר"ל שהוא בצלם ובדמות כשאר האדם ר"ל בגלגל
Magnificant_0192	Halfan_0124	94	והו ילי סיט עלם מהש ללה אכא כהת הזי אלד לאו ההע יזל מבה הרי הקם לאו כלי לוו פהל נלך ייי מלה חהו נתה האא ירת שאה ריי אום לכב ושר יחו להח כוק מנד אני חעם רהע ייז ההה מיך וול ילה סאל ערי עשל מיה והו דני החש עמם ננא נית מבה פוי נמם ייל הרת מצר ומב יהה ענו מחי דמב מנק איע חבו ראה יבם היי מום	והו. ילי. סיט. עלם. מהש. ללה. אכא. כהת. הזי. אלד. לאו. ההע. יזל. מבה. הרי. הקם. לאו. כלי. לוו. פהל. נלך. ייי. מלה. חהו. נתה. האא. ירת. שאה. ריי. אום. לכב. ושר. יחו. להח. כוק. ענד. אני. חעם. רהע. ייז. ההה. מיכ. וול. ילה. סאל. ערי. עשל. מיה. והו. דני. החש. עמם. ננא. נית. מבה. פוי. נמם. ייל. הרח. מצר. ומב. יהה. ענו. מחי. דמב. מנק. איע. חבו. ראה. יבם. היי. מום.
