ראה אנכי כת' ולעם הזה תאמרו כה אמ' יי' הנני נותן 	Midrash Tanchuma		:::Midrash Tanchuma::::	:::::::
לפניכם את דרך החיים ואת דרך המוות 	Midrash Tanchuma	Jeremiah.21	:::Midrash Tanchuma::::::	:::::::::
וכת' משכיל לאסף האזינה עמי תורתי הטו	Midrash Tanchuma	Psalms.78	:::Midrash Tanchuma:::::::::::	::::::::::::::
אזניכם לאמרי פי וכת' רק השמר לך ושמור נפשך מאד פן תשכח את הדברים	Midrash Tanchuma	Deuteronomy.4	:::::::::::::::	:::::::::::::::
אשר ראו עיניך יום אשר עמדת לפני יי' אלהיך בחורב ללמדך שכל המבטל מן 	Midrash Tanchuma	Deuteronomy.4	:::::::::::::::	:::::::::::::::
התורה כאילו כופר בהק'ב'ה שלא נתן תורה לישר' אלא שי(כ)עסקו בו יומם ולילה וכל	Midrash Tanhuma Buber		:::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber::::::::	:::::::::::::::
העוסק בתורה תדיר ומקיימה כאילו הוא קיבלה מהר סיני לפי' הוא אומ' והדעתם	Midrash Tanhuma Buber		:::::::::::::::	:::::::::::::::
לבניך ולבני בניך וכת' יום אשר עמדת כשבא אסף התחיל לומ' האזינה עמי תורתי	Midrash Tanhuma Buber		:::Mekhilta deRabbi Yishmael:::::::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:	::::::::::::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:
וכן אמ' שלמה כי לקח טוב נתתי לכם תורתי אל תעזובו אמרו יש' לאסף וכי יש 	Midrash Tanhuma Buber	Proverbs.4	Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber::::::	Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:::::::::::::
תורה אחרת שאתה אומ' תורתי כבר קבלנוה מהר סיני אמ' להם פושעי ישר' אומ'	Midrash Tanchuma		::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:::::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:::	::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:::::::::::
נביאים וכתובים אינה תורה ואין אנו מאמינים בהם שנ' ולא שמענו בקול יי'	Midrash Tanhuma Buber		:::::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber::::::	:::::::::::::::
