midrash.Midrash_Tanchuma.	midrash.Midrash_Tanchuma_Buber.	midrash.Pesikta_Rabbati.	midrash.Pesikta_D'Rav_Kahanna.	midrash.Yalkut_Shimoni_on_Torah.	midrash.Yalkut_Shimoni_on_Nach.	bavli.	yerushalmi.	text
4	11	0	2	2	2	9	2	שמעו קולו כיון ששמעו קולו מיד מתו כולם שנ' שי יצאה בדברו ור כולם מתים מיד בקשה התורה עליהט רחמים והח נפשותיהן שנ' תורת יוי תמימה משי התחילוה ﭏשה אם יופי אנחנו לשמוע' קרב אתה ושמע' לכ כיון שמד המשכן לא קרא ﭏא למשה נוא יכול ותאמ שהיה מדבי מו בקלמוך בשבי כך ה' עומד ﭏא היה ה'ב'ה' מדבר עמו בקול גבוה על כלל ואמירה ויווי כקול שנא' המתןתורה זול יוי בח קוליוי בהדר מנין שנ' ובבא משה ﭏאהל לדב אתו וישמע א הקול מדבר' ﭏיו וג' וישמע את קול ממדר ﭏיו אינו אומך ﭏאוישמע את הקול שהיה ידו במ
20	23	0	0	5	4	8	5	בתן תורה קולי וי שובר ארים שהיה מדב עלל דיבור ודיבור ועל כל אמירהבצווי שמא המ ﭏהיו שומשן את הקול מבחוץ תל וישמע הוא שומע בלבד וי אר שקול גבוה היה מדבר למה לא הי שועי' לפי ש ה'ב'ה' על הדבו שיצא והולך אצל משה ועש לוה'ב'ה' שי ו'צאקלד שיגייע למשה ולא ממשמעלכוהלן ומשקרמבל דיברודבר שצא מי ה'ב''ל ב ם א אומ' וך לחזיז קולת שעשה ל' ה'ה'דךר ל לשילך אצו משה בלבכר שנ' ויקא ﭏ משר ו ה ﭏיו ﭏיו היה נשמע ולא לאחר לכך נאמ' גבורי כח עושי דברו ז'שה' הכת' כי טוב אמיר לך עלה הנה מהשפילך
19	26	0	0	4	3	19	9	וג' ר' תנחום אמ' שב רחור ממומך שניםושלשה מושבו שאמורו לך עלה למקומך לה ולא תעלה למו שאינו מקומך כדי שלא יאמרו לך רד ר' תנחומא אמ' ים זהבורב פנינים וכלי יקר שפתי דעת מרלא אמ' דעה חסרת מה קני דעה קנית מה חיר אף משה לא עלה עד שקראו ה'ב'ה' ש' ויקרא דא' ויקרא ﭏ משה וג' ילמדנו רביכו העובר לפני התיעה ולא אמ' ברכת המינים מהו שמחזירתי' אותו כך שנו רביתי' העוב לפני התיבה וטעה בכל הברכות כולן אין מחזירי איתו אב אם טעה בקללת המינים מחזירין אותו ואומר בעל כחו חיישינן שמא מין הוא ﭏא מחזירי' אותו
22	23	0	1	1	3	13	5	שאם יהיה בו צד יינית מקלל את עמו ויענוההל אמן וכם מי סשלא אממ'בונה ירושלם חישנן שמא כותי היא אמ ר' יוסי גר שיל כל דברי תורה חוץ מדבר אחד אין קבלין אתו ולאעוד אפי קור א מן התורה מדקדוקי סופרי' אמ' רבי יהודה בן שלום את מוצא ארבעי' ושמונה פעמי' הזהיר ה'ב'ה' על הגרים וכנגדן הזהיר על ע'ז' אמ' ה'ב'ה' זה שהניח ע'ז' שלו אלי לפיכך אני מחזיק עליו ני אוהבו שנ' ואוהב גר לתת לו לחם ושמלה ד'א' ויררא זה שאמ' הכת' גאות אדם תשפילנו ושפל רוח יתמוך כבוד כל מי שהוא רודף אחר השררה שררה בורחר ממנו
12	41	1	0	1	18	5	3	וכל מי שבורח מן השררה שררה רודפת אחריו שאול ברח מן השררה בשעה שבא למלוך שנא' וישﭏו עוד ביוי הב' עוד הלום איש ויאמר יוי הנה הו נחבא ﭏ הכלים מהו ﭏ הכלים כשבאו ואמרו לו דבר המלוה אמ' להם אין אני ראוי למלכות ﭏא שﭏו באורי ותומים אם ראוי אני ואם לאו הניחו אותי מיד וישﭏו עוד ביו' מיד החביא את עצמו מיד שﭏו באורי' ותומים שנ ויאמר יו הנה הוא נחבא ﭏ הכלים וכן שנו רבותי' הכלים ﭏו אורים ותומי זה ברח מן השררה והיא רדפה אחריו שנ' אשר בחר בו יוי כי אין כמוהו בישר' ואבימלך בן
20	30	0	2	3	4	4	3	ירובעל רד אחר השרכה והיא ברחה ממו שנ' דברו נא באזני בעלי שנם מ טוב לכמ וג' וישלח ﭏהים רעה בין אבימלך ובין בעלי שכם ומה ברח מן השררה שעה שאמ' לו ה'ב'ה' ועתה לך ואשלח ﭏפרעה ויאמר בי יוי שלחנא ביד תשלח אמ' רבי לוי ז' ימים היה ה'ה' מתה את משה בסנה והואיבו ואומר נבי שלח נא ביד תשלח ויומר משה ﭏ יי בי אט לא איש דברי אני אמ' לו ה''ב'ה' ישבת חייך סופך כיון שחלך ומ' כה מ יוי ﭏהי העברים שלח את עמיי ויעבדוני אמ' אותו רשע יוי אשר אשמע בקולו התחיל משה ואמר כבר
29	42	0	0	11	6	4	7	מאו ת שליחותי הלך וישב לו אמ' לו ה'ב'ה' ישבת לך בא דבר ﭏ עה מלך מצרים וכן על כל דברודבר לך ﭏ פרעה השכם בבקר התיצב לפני פרעה ללמדך שהיה בורח מן השררה ולסוף הוציאם נקרע להם את הים והביאם ﭏ המדבר והוריד להם את המן ועשה את המשכ ואמר מיכן ואילך מה יש לי לעשות עמד וישב אמ' לו ה'ב'ה' חייך יש לך מלאכה גדולה מכל מה שעשית ללמד לבני טומאה וטהרה להזהיקן היאך יהו' בני מקריבין' לכי ש יקרא ﭏ משה וידבר וג' דבר ﭏ בני ישר' ואמרת ﭏיהם אדם כי יקר יב מכם וג' משה ברח
25	43	3	1	2	6	6	5	מן השררה והשררה רדפה אחריו שנ' לקיים מה שנ' גאות אדם תפשפילו זה עה הרשע ושפל רוח יתמוך כבוד זה משוה שנ יתוסרהו מעט מﭏהי' וג' ד'א' ויקרא ﭏ משה זש'ה או דברת בחזון לחסידיך ותאמר שויתי עזר על גור וג' א'ע'פ' שדבר ה'ב'ה' עם אדם הראשון וצוהו על עץ הדע הוא בעצמו היה בעולם וכן נח אעפ' שד בר עמו והיה תמים בדורותיו וכן אברהם וכן יצחר וכן יעקב יחידים היו היו בעולם אבל משה כמה צדיקים עמו ע זקנים ואורי אביו ואהרן אחיו ובניו הנשיאים ולא קרא כול ﭏא למשה הוי אמר הרימותי בחור מעם זה משו שכך
24	34	0	0	3	3	4	3	כתי' לולי משה בחירו ויקרא ﭏ משה מהיכן מאהל מועד יהי שמו מבורך לעולם ולעולמ עולמי שהניח העליונים ובחר בתחתולים לשכון במשן בשבי אהבתן שלישר' שכך אמ' שלמה כי האמנם שב ﭏים את האדם על הארץ יש יוצר כלי חרש מתאוה לכלי ה כביכול כי יוצר הכל הוא ﭏא בשביל האהבה נכמסה וגם כלתה נפשי וג' וכן הוא אומ' ויקדרא ﭏ משה ויד יוי ﭏיו וג' גדול היה משה ראה מה כתי' ויקר ﭏהי לאור יום וג' וכן ויקרא ﭏ משה זו קראה וזו קריא מי גדולהשובה או השבה הוי אומר השובה דא' ו מה כתי' ויקרא ﭏהי' לאור יום
24	44	0	0	17	5	6	5	ואין אור ﭏא דברי תורה שנ' כי נר מצוה ותורה אור אמ' לו ה'ב'ה' למשה עולם הזה עשיתיך ראש על כלישר' ולעולם הבא כשיבואו הצדיקי' ליטול שכרן אתה בראש כולם שנ' ויתא יאשי עם ו' ונתנו בני אהקן הכהן אש וג' כל העצים שייןי לערבה חוץ מעטן וזית ולמה מפני שהן עושן אות שובחין הא למדת שבזכות בנים אביתיהן מתכעבדין ואם מנחה על המחבת וכתי' ואם מנות מרחשת מה בין מחבת למרחשת מרחשת יש לה כסוי מחבת אין לה כסוי מרחשת עמוקה ומעשיה רוחשין מחבת צפה ומעשה שין חביתי כן הוא מוזהר על לישתן ועשייתן בים ודוחה את השבת טחנן
