midrash.Midrash_Tanchuma.	midrash.Midrash_Tanchuma_Buber.	midrash.Pesikta_Rabbati.	midrash.Pesikta_D'Rav_Kahanna.	midrash.Yalkut_Shimoni_on_Torah.	midrash.Yalkut_Shimoni_on_Nach.	bavli.	yerushalmi.	text
31	64	0	0	15	2	18	4	משובחין הא למדת שבזכות בנים אבותיהן מתכבדין ואם מנחה על המחבת וכתי' ואם מנחת מרחשת מה בין מחבת למרחשת מרחשת יש לה כסוי מחבת אין לה כסוי מרחשת עמוקה ומעשיה רוחשין מחבת צפה ומעשיה קשין חביתי כהן גדול הוא מוזהר על לישתן ועשייתן בפנים ודוחה את השבת טחנן והרקידן אינו דוחה את השבת כל המנחות נילושות בפושרין ומשמרן שלא יחמיצו ואם החמיצו שיריה עובר בלא תעשה שנ' כל המנחה אשר תקריבו ליוי וג' וידבר יוי נפש כי תחטא ילמדנו רבינו מהו שיכנס אדם להר הבית במקלו ובאפונדתו כך שנו רבותינו לעולם לא יכנס אדם להר הבית במקלו ובאפונדתו ובאבק שעל
34	55	0	1	3	3	5	4	רגליו שלא ינהוג בו קלות ראש אפי' בחורבנו אמ' ה'ב'ה' את שבתותי תשמורו ומקדשי תיראו ומה ראה להקיש שמירת שבת למקדש כך שנה ר' חייא הגדול כשם ששמירת שבת לעולם כך מורא מקדש לעולם ושלמה צווח מקום המשפט שמה הרשע שלמה היה צופה היאך הרשעים מעמתין בית המקדש אמ' שלמה מקום שהיו סנהדרין יושבין ודנין דיני נפשת ודיני מכות טמאות וטהרות משקצין ראה מה כת' ויבואו כל שרי מלך בבל וישבו בשער התוך נרגל שראצר שמגר נבו שר שכים רב סריס וכת' על הר ציון ששמם שועלים הלכו בו אמר לו ה'ב'ה' אתה קורא הנכנסות ואין את קורא היוצאות ומקום
30	49	0	0	3	9	7	8	הצדק שמה הרשע אם יהרג במקדש יוי כהן ונביא דמו של זכריה מושלך על האבנים שנ' כי דמה בתוכה היה עלי סלע מקום המשפט שמה הרשע זה שער האמצעי סנהדרי גדולה יושבת בו שמה הרשע טבעו בארץ שעריה אמ' ה'ב'ה' מקום הצדק שמה הרשע מקום אחד היה לצדיקו של עולם בבית המיוחד לשכינה הרשיעו מנשה והכניס צלם בתוכו ד'א' שכך כתי' אשר בידו נפש כל חי ורוח כל בשר איש אף המשפט נתון בידי שנ' ותאחז במשפט ידי ולא נתתי את הנפש בצד הדין ﭏא כדי שתהא רואה מה מותקן לה ולא תחטא והיא חוטאה שמה הרשע שהנפש נתונה בצד
47	49	0	0	2	1	5	17	הדין נפש כי תחטא ז'ש'ה' גם בלא דעת נפש לא טוב ואץ ברגלים חוטא מי שחוטא אפילו בשגגה אינו סימן יפה לו כיצד היו לפניו שתי חנויות אחת של גוי ואחת של ישר' נכנס לאותה של גוי בלא דעת לא טוב נכנס במזיד נקרא חוטא שנ' ואץ ברגלים חוטא אמ' ר' יצחק בר' שמוﭏ בר מרתא היו לפניו שתי דרכים אחת ארוכה ואחת קצרה הקצרה מלאה צרורות והארוכה אין בה צרורות אמר הניח הארוכה והלך בקצרה בשבת עליו נאמר ואץ ברגלים חוטא שנו רבותי' מצוה גוררת מצוה ועבירה גוררת עבירה לא יצר אדם על עבירה שעשה בשוגג ﭏא שנפתח לו
39	46	0	1	7	7	18	6	פתח שיחטא אפילו בשוגג ואפי' במזיד לא ישמח אדם על מצוה שבאה לידו ﭏא מצות הרבה עתידות לבוא לידו לפיכך אם חטא בשוגג אין סימן טוב לו שנ' גם בלא ולא חוטא בשוגג אין סימן טוב לו חטא במזיד על אחת כמה וכמה לפיכך נאמר ואץ ברגלים חוטא וכן הוא אומ' שש הנה שנא יוי ושבע תועבות נפשו עינים רמות לשון שקר וידים שופכות דם נקי לב חורש מחשבות און רגלים ממהרות לרוץ לרעה אחאב בן קוליה וצדקיה בן מעשיה שהיו חוטאין בירושלם ולא דיין ﭏא משגלו לבבל היו מוסיפין חטא ומה היו עושין בירושלם היו נביאי שקר ולא הניחו
36	41	0	0	7	25	11	9	אומנותן בבבל והיו מסרסרין זה לזה בעבירות היה אחאב בן קוליה נכנס אצל גדולי מלכות בבל והיה אומר לבני אדם מגדולי מלכות אני פלוני הנביא ה'ב'ה' שלחני לומר דבר לאשתיך והיה אומר לו הרי לפניך הכנס היה מתיחד עמה ואומר לה ה'ב'ה' מבקש להעמיד ממך נביאים לכי ושמשי עם צדקיה בן מעשיה ותולידי ממנו נביאים והיתה שומעת לו והיה משלח אחר צדקיה והוא בא משמש עמה וצדקיה בן מעשיה אף הוא כך היה עושה מסרסר לאחאב זו היתה אומנותן של שניהם בוא וראה כמה היו רשעים שהוציאו להם שם בבבל שהם נביאי' גדולים אשה היתה מעוברת רואה אחד מהם אומרת
25	21	0	0	4	17	22	14	לו אי נביא אתה מה אני מעוברת זכר או נקבה הוא אומ' לה זכר היה יוצא לשכנותיה ואומר להן נקבה תלד פלונית אם ילדה זכר אומרת נתקיימו דבריו של נביא אם ילדה נקיבה שכינותיה אומרות לה כך אמר לנו הנביא ﭏא שלא רצה להצר לך והיו עושין כך עד שהגיעו לאשתו של נבוכדנצר נכנס צדקיה אמר לה ה'ב'ה' שלחני אצלך לכי ושמשי עם אחאב ותולידי ממנו נביאי' אמרה לו איני יכולה לעשות דבר ﭏא על דעת בעלי ועכשיו יבוא ונודיענו שהוא חפץ בדבר זה הלכה מיד ואמרה אותו דבר לנבוכדנצר באותה שעה שלח בשבילם ובאו שניהם אמר להם כך אמרתם
43	4	1	0	6	6	9	8	לאשתי אמרו לו כך שה'ב'ה' רוצה להעמיד ממנה נביאים אמ' להם מימי שמעתי על ﭏהיכם שהוא שונא זימה וזמרי בן סלוא על שפרץ בזנות נפלו כ'ד' ﭏף מישרﭏ בשבילו ואתם אומרי' עכשיו כך שמא חזר בו אם אתם נביאי אמת או נביאי שקר איני יודע ﭏא כבר בדקתי בחנניה מישﭏ ועזריה והסקתי להן את הכבשן ז' ימים והפלתי אותן לתוכו ויצאו שלימים ולכם איני מסיקו ﭏא יום אחד ונשליך אתכם לתוכו אם תנצלו מן הכבשן יודע אני ודאי שאתם נביאי אמת ונעשה על פיכם כל מה שאתם אומרי' לי אמרו לו חנניה מישﭏ ועזריה שלשה היו ואנו שנים והנס על
25	10	1	1	3	3	6	1	ידי שלשה נעשה להן נס אמר להן יש כאן שלישי כיוצא בכם אמרו יש אמר להם מי הוא אמרו לו יהושע בן יהוצדק כהן גדול והם חשבו בלבם שעל זכותו הן ניצלין באותה שעה הביאו כהן גדול והשליכוהו עמהן לתוך הכבשן הם נשרפו שניהם ויהושע כהן גדול ניצל שנ' הלא זה אוד מוצל מאש ומן אחאב בן קוליה לוקח מהן קללה לכל גלות יהודה וג' מי גרם לרשעים הללו לישרף ﭏא על שהיו רצים ברגליהם אחר העבירות לכך נאמ' ואץ ברגלים חוטא וא'ע'פ'כ' גם בלא דעת נפש לא טוב לכך אמ' ה'ב'ה' למשה דבר ﭏ בני ישר' לאמר נפש כי
34	43	0	1	13	3	9	6	תחטא בשגגה ד'א' נפש כי תחטא בשגגה הנפש חוטאה אמ' ה'ב'ה' מקום המשפט שמה הרשע ומקום הצדק ל'ה'ד' לשני בני אדם אחד קרתני ואחד בן פלטין שחטאו לפני המלך מה עושה להם העלם שניהם לבימה ראה שניהם חטאו חטא אחד מה עשה להם פינה לקרתני ונתן לבן פלטין אפופסין אמרו לו בני פלטין שלו אדוננו המלך שניהם חטאו חטא אחד לקרתני פניתה ולבן פלטין נתתה אפופסין אמ' להן לקרתני פניתי שאינו יודע נימוסי המלכות אבל בן פלטין בכל יום ויום הוא עמי עומד ויודע עסקי המלכות מה הן והוא חוטא לפני איזה דין יוצא עליו אף כך הגוף קרתני שנ'
