משובחין הא למדת שבזכות בנים אבותיהן מתכבדין 	midrash.Midrash_Tanchuma_Buber.Vayikra.7		midrash.Midrash_Tanchuma_Buber.Vayikra.7:::	:::
ואם מנחה על המחבת וכתי' ואם מנחת מרחשת מה בין	midrash.Midrash_Tanchuma_Buber.Vayikra.7		:::midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	:::::::::midrash.Midrash_Tanchuma.Vayikra.5:
מחבת למרחשת  מרחשת יש לה כסוי מחבת אין לה כסוי	midrash.Midrash_Tanchuma_Buber.Vayikra.7		midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:
מרחשת עמוקה ומעשיה רוחשין מחבת צפה ומעשיה	midrash.Midrash_Tanchuma_Buber.Vayikra.7		midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:
קשין  חביתי כהן גדול הוא מוזהר על לישתן ועשייתן בפנים	midrash.Midrash_Tanchuma_Buber.Vayikra.7		midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:::::::	midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:::::::
ודוחה את השבת טחנן והרקידן אינו דוחה את השבת 	midrash.Midrash_Tanchuma.Vayikra.5		::::::midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:	::::::mishnah.Menachot.11:::bavli.Menachot.191:
כל המנחות נילושות בפושרין ומשמרן שלא יחמיצו ואם	midrash.Midrash_Tanchuma.Vayikra.5		midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:::midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	:bavli.Menachot.191:yerushalmi.Megillah.43:bavli.Menachot.191:::midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma.Vayikra.5:
החמיצו שיריה עובר בלא תעשה שנ' כל המנחה אשר	midrash.Midrash_Tanchuma.Vayikra.5		midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:::::	midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:::::
תקריבו ליוי וג' וידבר יוי נפש כי תחטא  ילמדנו	midrash.Midrash_Tanchuma.Vayikra.5		::::::::::	::::::::::
רבינו מהו שיכנס אדם להר הבית במקלו	midrash.Midrash_Tanchuma_Buber.Vayikra.8		:::midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:	:::midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:bavli.Yevamot.12:
