bavli	midrash.Bemidbar_Rabbah	midrash.Bereishit_Rabbah	midrash.Derech_Eretz_Zuta	midrash.Devarim_Rabbah	midrash.Eichah_Rabbah	midrash.Ein_Yaakov	midrash.Esther_Rabbah	midrash.Kohelet_Rabbah	midrash.Mekhilta_DeRabbi_Shimon_Bar_Yochai	midrash.Mekhilta_d'Rabbi_Yishmael	midrash.Midrash_Aggadah	midrash.Midrash_Lekach_Tov_on_Ruth	midrash.Midrash_Mishlei	midrash.Midrash_Tanchuma.	midrash.Midrash_Tanchuma_Buber	midrash.Midrash_Tehillim	midrash.Otzar_Midrashim	midrash.Pesikta_D	midrash.Pesikta_D'Rav_Kahanna	midrash.Pesikta_Rabbati	midrash.Pirkei_DeRabbi_Eliezer	midrash.Ruth_Rabbah	midrash.Seder_Olam_Rabbah	midrash.Sefer_HaYashar	midrash.Shemot_Rabbah	midrash.Shir_HaShirim_Rabbah	midrash.Sifra	midrash.Sifrei_Bamidbar	midrash.Sifrei_Devarim	midrash.Tanna_Debei_Eliyahu_Rabbah	midrash.Tanna_debei_Eliyahu_Zuta	midrash.Vayikra_Rabbah	midrash.Yalkut_Shimoni_on_Nach	midrash.Yalkut_Shimoni_on_Torah	minor_tractate	mishnah	tosefta	yerushalmi	text
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	מירת
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	בשם אשר אין לו ראשית אתחיל לכתוב רנ
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ראשיו ברא אלהים את השמים ואת הארץ  והארץ היהה השו ובהו והשך
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ל פני תהום ודוח אלהים מרחפת על פני המים  זהושאמ הכתו
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	יימלל גבורות יי ישמיע כלתהלתו  אף לא מלאכי השרת יכולין לספר אלה מקצת
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ובודותיו  וכי יש לך אדם שהוא יכול לדבר גבודותיו של הבה או להשטיע כל תאנתו
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	אף לא מלאכי השרת יכולין לספר אלא מקצת גבורותיו לדרש במה שעשה דבמה שעתיד
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	עשות למען יתדומם שמו של הבה בבריותיו שברא מסוף העולם ועד סופו  שנא דוד
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	לשיור ישבח מעשיך וגבורותיך יגידו  אמרו חזל שמנה דברים נבראו ביום ראשון
2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ואלו הן  שמים וארץ  ואור וחשך  ותוהו ובוהו  ורוח ומים  שנא ורוח אלהים מרחפר
0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ול פני המים  והארץ היתה תוהו ובוהו אלו מעשיהן של רשעים  ויאמר אלהים יהי
2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	אור ויהי אור  אלו מעשיהן של צדיקים  אבל איני יודע באי זה מהן חפשץ אם במעשה
1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	הללו ואם במעשה הללו  כיון דבתי וירא אלהים את האור כי טוב  הוי אומ במעשיהם
3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	של צדיקים הוא הפץ ואינו חפי במעשיהם שלרשעים  אמ ר חייא בר אבא מתחלת
2	0	4	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	ברייתו של עולם צכה הבה בית המקדש בנו וחרב ובנוי  בראשית ברא אלהים 
2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	הרי הוא בסי  שנא לנטותו שמים וליסוד ארץ  והארץ היתה תוהו ובוהו  הרי הוא הרב 
1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	שנא ראיתי את הארץ והנה תוהו ובוהו  ויאמר אלהים יהי אור ויהי אור  הרי הוא
1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	בנוי ומשוכלל לעתיד לבא שנא קומי אורי כי בא אורך וכבוד יי עליך זרח  וכתי כי
1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	הנה החשך  יכסה ארץ וערפל לאומים ועליך יזרח יי וכבודו עליך יראה  וירא אלהים
1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	את האור כי טוב  ויקרא אלהים לאור ידם ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד 
