Tanakh.Commentary.Abarbanel	Tanakh.Commentary.Bekhor_Shor	Tanakh.Commentary.Chizkuni	Tanakh.Commentary.Daat_Zkenim	Tanakh.Commentary.Ibn_Ezra	Tanakh.Commentary.Paaneach_Raza	Tanakh.Commentary.Radak	Tanakh.Commentary.Ralbag	Tanakh.Commentary.Ramban	Tanakh.Commentary.Rashbam	Tanakh.Commentary.Rashi	Tanakh.Commentary.Rosh	bavli	midrash.Bemidbar_Rabbah	midrash.Bereishit_Rabbah	midrash.Derech_Eretz_Zuta	midrash.Devarim_Rabbah	midrash.Eichah_Rabbah	midrash.Ein_Yaakov	midrash.Esther_Rabbah	midrash.Kohelet_Rabbah	midrash.Mekhilta_DeRabbi_Shimon_Bar_Yochai	midrash.Mekhilta_DeRabbi_Shimon_Bar_Yochai.Additions	midrash.Midrash_Aggadah	midrash.Midrash_Lekach_Tov_on_Ruth	midrash.Midrash_Mishlei	midrash.Midrash_Tanchuma	midrash.Midrash_Tanchuma_Buber	midrash.Midrash_Tehillim	midrash.Pesikta_D'Rav_Kahanna	midrash.Pesikta_Rabbati	midrash.Pirkei_DeRabbi_Eliezer	midrash.Ruth_Rabbah	midrash.Seder_Olam_Rabbah	midrash.Shemot_Rabbah	midrash.Shir_HaShirim_Rabbah	midrash.Sifrei_Bamidbar	midrash.Sifrei_Devarim	midrash.Tanna_Debei_Eliyahu_Rabbah	midrash.Vayikra_Rabbah	minor_tractate.Avot_D'Rabbi_Natan	minor_tractate.Tractate_Derekh_Eretz_Rabbah	minor_tractate.Tractate_Kallah_Rabbati	minor_tractate.Tractate_Soferim	mishnah	tosefta	yerushalmi	text
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	מירת
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	בשם אשר אין לו ראשית אתחיל לכתוב רנ
1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ראשיו ברא אלהים את השמים ואת הארץ  והארץ היהה השו ובהו והשך
1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ל פני תהום ודוח אלהים מרחפת על פני המים  זהושאמ הכתו
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	יימלל גבורות יי ישמיע כלתהלתו  אף לא מלאכי השרת יכולין לספר אלה מקצת
0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ובודותיו  וכי יש לך אדם שהוא יכול לדבר גבודותיו של הבה או להשטיע כל תאנתו
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	אף לא מלאכי השרת יכולין לספר אלא מקצת גבורותיו לדרש במה שעשה דבמה שעתיד
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	עשות למען יתדומם שמו של הבה בבריותיו שברא מסוף העולם ועד סופו  שנא דוד
0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	לשיור ישבח מעשיך וגבורותיך יגידו  אמרו חזל שמנה דברים נבראו ביום ראשון
0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ואלו הן  שמים וארץ  ואור וחשך  ותוהו ובוהו  ורוח ומים  שנא ורוח אלהים מרחפר
0	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ול פני המים  והארץ היתה תוהו ובוהו אלו מעשיהן של רשעים  ויאמר אלהים יהי
0	0	0	0	0	1	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	אור ויהי אור  אלו מעשיהן של צדיקים  אבל איני יודע באי זה מהן חפשץ אם במעשה
0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	הללו ואם במעשה הללו  כיון דבתי וירא אלהים את האור כי טוב  הוי אומ במעשיהם
0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	של צדיקים הוא הפץ ואינו חפי במעשיהם שלרשעים  אמ ר חייא בר אבא מתחלת
0	0	0	0	0	0	0	0	1	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	ברייתו של עולם צכה הבה בית המקדש בנו וחרב ובנוי  בראשית ברא אלהים 
0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	הרי הוא בסי  שנא לנטותו שמים וליסוד ארץ  והארץ היתה תוהו ובוהו  הרי הוא הרב 
0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	שנא ראיתי את הארץ והנה תוהו ובוהו  ויאמר אלהים יהי אור ויהי אור  הרי הוא
0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	בנוי ומשוכלל לעתיד לבא שנא קומי אורי כי בא אורך וכבוד יי עליך זרח  וכתי כי
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	הנה החשך  יכסה ארץ וערפל לאומים ועליך יזרח יי וכבודו עליך יראה  וירא אלהים
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	את האור כי טוב  ויקרא אלהים לאור ידם ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד 
0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	לפי סדר הפרש היה לו לכתוב יום ראשון במו שכתו בשאר הימים שני שלישי רביעי 
0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	ועוד לפי שכת יום אחד היה לו לכתו שנים שלשה ארבעה  למה בת יום אחד על שם
2	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	שהיה הבא בעולמו אחד  שלא נבראו המלאכים עד יום שני  ובמדרש אמרו שנת
2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	להם הבה יום אחוי ואיזה יום הדין  ניאמר אלהים הירקיע בתוך המים ויהי מבדיל
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	בין מים למים  רשני ברא הבה את הרקיע והמלאכים ואשו של בשר ודם ואשה של גבנם
0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	והלא השמים והארץ נבראו ביום ראשון שנא בראשית ברא אלהים את השמים ואת הארץ 
2	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ולא אמ יהירקיע  יחזק הרקיע שאעפ שהשמים נבראו ביום ראשון לחים היו ביום
2	0	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	בשני קרשו מגערת הבה באמרו יהי רקיע  ויעש אלהים את הרקיע ויבדל בין המים
0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	שר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי בין  האלמדת שהם תלויים במאמרו
0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	ל מלך  ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ויהי כן  בשלשי היתה כל הארץ מישור כבקעה והיו מכסין על פני כל הארץ בשצא
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	הדבר מפי הגבורה יקוו המים היו שטוחין על פני כל הארץ ונעשית עמקים על תוכה
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	של ארץ ונתגלגלו המים ונקוו לעמקים שנא ולמקוה המים קרא ימים  מיד נת גאו המי
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	ועלו לכסות הארץ כבתחלה עד שגער בהן הבה וכבשן ונתנן תחת כפות רגליו ומדדן
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	בשעלו שלא לפחות ושלא להוסיף ועשה חול גבול לים כאדם שהוא עושה עדר לברמו
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	וכשהן עולין רואין את החול לפניהם וחוזרין לאחוריהם  שנא האותי לא תיראו נאום 
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ויאמר אלהים  הי מחורות חסר ואו על היה יום מארה ליפול אסכרה בתינוהות
0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	הוא ששנינו ברביעי היו מתענין על אסברה שלא תעול בתינוקות ביום הרביעי חבר
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	שני מאורות לא זה גדול מזה ולאזה גדול מזה שוין בגבהן ובתוארן ובאורן שנא
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ויעש אלהים את שני המאורות הגדולים  נבנס תחרות ביניהן זה אומר לזה אני גדול
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ממך וזה אומ לזה אני גדול ממך ולא היה שלום ביניהם  וליתן שלום ביניהם מה
0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	עשה הבה הגדיל את האחד והקטי את האחד  שנא את המאור הגדול לממשלת היו
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	ואת המאור הקטון לממשלת הלילה  והיו לאותות ולמועדים ולימים ושנים  כשהמאורו
0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	לוהין סימן רע הוא לעולם שנא מאותות השמים אל תחתו כי יחתו הגוים מאלה 
0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	בעשותכם רצון הבה אין אתם צריבין לדאוג מן הפורענות  ולמועדים על שם העתד
0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	שעתידין להצטוות על המועדים והם מונים למולד הלבנה  ויאמר אלהים ישרצו המי
0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	שרץ נכשחיה ועוף יעופף על הארץ  אמרו חזל בחמישי השריץ מן המים כל מין 
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	עוף כנף זכרים ונקבות טהורים וטמאים  ובשני סימנין מטהרין בזפה ובקרקבן נקלף
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	ר אליעזר אומ אף באצבע יתירה ושני מיני עופות נבחרו לקרבן עולה  ואלו הן תור
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	סימען הן מטהרין בסנפיר וקשקשת הם  אם אין להם סנכיר וקשקשת טמאים 
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ביום הששי הוציא מן הארץ כל מיני בהמות זכרים ונקבות טהורים וטמאים ונשנ
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	סימנין הן מטהרין במעלה גרה ובמפריסי הפרסה  ושלשה מיני בהמות נבחרו לקרבן
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	בדמותנו  מכאן למדנו ענותנותו של הבה לפי שהאדם בדמות המלאכם ויתקנאו
0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	בו לפי נמלך בהן  אמ להן יש בעליונים בדמותו אם אין בתחשנים כדמותי הרי י
0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	קנאה במטשה בראשית  כעשה אדם  אעפ שלא סייעוהו ביביצתי ואעפ שישי
0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	בזה למינין לרד ות לא נמנע למנים הכתו מלמד דרך ארץ ומדת ענוה שיהא הגד 
0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	נמלך ננוטל רשות מן הקטון  ותשובת המינין כתו בצדן  שנא ויברא אלהים ארב
