line_text	mishnah	bavli	tosefta	minor_tractate	midrash_tannaitic	midrash_amoraic	yerushalmi
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
ומהלו נרנה המדית ברישם משות לפב חכקום  תמרה וינ ראקד	0	0	0	0	0	1	0
ומש פט  וחסד ואמת ורחמים ושלום שנ וארשתיך ביומונה	0	0	0	0	0	1	0
מאיר או כתי וירעת את ײ ﭏהיך כל אם שיש לו מדות הללו	0	2	0	0	0	0	0
ודע דעתו של מקום  וכל המצדיק עא שומעה מנד זן אותו	0	0	0	0	0	0	0
מלויעלה שנ אמת מארא תה וה ליב נשקמ	0	0	0	0	0	0	0
אר יצחק בשביל צדק יוחד עולם ע ויא אהים את	0	0	0	0	0	0	1
האור כי טוב  ואיך טוב אלאי של מא לצדיק כי שוב	0	0	0	0	0	3	0
אר חייא אין צריק נפטר ער שבברא עת כמותו שנ הרח	0	5	0	0	0	0	0
השמש ובא השמש עד שלא נבתה נו שר עלי זרחם שמשו של	0	6	0	0	0	0	0
שמואל הרמתי  ואר יוחנ ואת המקום שה נר אים ו	0	6	0	0	0	0	0
שיר ושתלו בכל דור ודור שנ כי ליי כאוקי ארן ו שת על	0	4	0	0	0	0	0
תבו  ואר מחנ בשכיל צדיק אחד עולם מז יים שנ מריתי	0	3	0	0	0	0	0
עולם ר חיא אמ מהכא אולי חמדיו ישר א	0	3	0	0	0	0	0
חסר כ כתיב דיק יהן  מת	0	2	0	0	0	0	0
אסי בר וש קפשתנ הזה כש ו	0	1	0	0	0	0	0
עלא ביתר למה ידוא סורע אמ	0	1	0	0	0	0	0
לכי שהוא משבח והולן ך  מ	0	1	0	0	0	0	0
ליו לעמוד שנ ורשעים ת	0	1	0	0	0	0	0
וצר הזה כשהוא ק קנ     עה	1	0	0	0	0	0	0
מרפעמים ולמד ללא ם  דא כי	0	1	0	0	0	0	0
אלעמ בר אסי אין לך אדם אוהב בן א	0	1	0	0	0	0	0
ארב בן חכם כמותו שנ כצדיק י ת ל	0	1	0	0	0	0	0
אבד לחורו זבר שללי בבהו  יום	0	2	0	0	0	0	0
הההלה מי לה ליה ולה	0	1	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
אינה ראויה להוליד  אל ר ליובטונינוס דבר זה למדתנן ומקרא	0	2	0	0	0	0	0
מסייעך שנ ופקודתך שמרה רוחי  ומניין שהנפש נתונה מן	0	4	0	0	0	0	0
השמים דכת ויפח באפיו נשמת רוח חיים  ר ישמעא או כל הגופ	0	4	0	0	0	0	0
נוגעין בעפר עד שלא ישתיר מן העפר הגוף אלא כמלא תרווד	0	0	0	0	0	6	0
רקב  לעתיד לבא כשיקרא המקום לארץ לשלם פקדון לכו הגופות	0	0	0	0	0	3	0
טנתערבו בעפר  תש קארץ ויפרה וירבה כל הגופים בלי מום	2	0	0	0	0	0	0
ימיד רעשה הארץ ומתרים מתזעזעים והקברות פותחים	0	0	0	0	0	1	0
והושע ײ באם ההוא  כת ﭏ אמונה ואין עול צדיק וג  כשם	0	0	0	0	2	0	0
שהמקום משלם שכר טוב לצדיקים שעושין מצות גדולות	0	2	0	0	0	0	0
בעולם הזה לעוום הבא כך משלם המקום לרשעים על מצות קלות	0	0	0	0	4	0	0
שעושין בשלם הזה  ואין עול כשם שנפרע המקום מן הרשעים	0	0	0	0	4	0	0
על עבירה קלה בעולם הזה כך המקום נפרע מן הצדיקים על עביר	0	0	0	0	4	0	0
אילם דזד כדי שיזכו לעולם הבא  ואל מעונתם ירביצון	0	3	0	0	0	0	0
פרא ביק שאין לו מדור לפי כבודו  יצא אדם לפעלו	0	5	0	0	0	0	0
המרי קם שכרם  ולעבודתם עדי ערב במי שהשלים	0	9	0	0	0	0	0
לר אומ שעיסק בתורה ובמצות עד יום מותו	0	8	0	0	0	0	0
הם הםוחי  איאן הנפש יוצאה עד שנראה השכנ	0	4	0	0	0	0	0
רע ת חוזרות ונאספות איש איש אל דור	0	0	0	0	0	2	0
ף אל עמי  הצדיקים עם הצדיקים	0	0	0	0	0	4	0
והרשערא שכך אמ המקום לאוברהם אכינו ואתה	0	0	0	0	0	4	0
תבי וכי נפש יוצאה מן הג יוא שלום אלא	0	0	0	0	0	3	0
שהים וםן אותם ברוך בואך בשלם לא גורך	0	0	0	0	0	2	0
מפי פי ליו גוריך לר רוחות ונשמות כלוכי היין הרה היא	0	0	0	0	0	1	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
בזני מוסרן למליוך ששמו דומה לשמר אותן מתים ומתגלגלין	0	0	0	0	0	0	1
עמן ושטיו בעולם עד שיתמלאו שנותם  אר יוחנ מניין	0	1	0	0	0	0	0
לנשמות של מתים שמספרות דו עם זו  שנ ויאמר ײ אלי	0	0	0	0	0	0	0
את הארץ אשר נשבעתי לאבותיך לאברהם ליצחק וליעקב לאמר	0	0	0	0	0	0	2
אל המקום למשה לך ואמור להם לאברהם ליצחק וליעקב שבועה	0	5	0	0	0	0	0
שנשבעתי להם קיימתי לבניהם  ו והפרחון פי בערך חטף כי רוח	0	9	0	0	0	0	0
מלפני יעטף פי רוח ונשמות לפני יחלקו לגופות הנלדים  ובחלק	0	7	0	0	0	0	0
מי יפתה את אחאב רוחו של נבות לפי שהרג אתנבות בלא דין	0	0	0	0	0	2	0
ובלא ענן היה רוחו מחזר לפתותו ולהפילו וכתי צא ממחיצתי זה	0	0	0	0	0	2	0
רוחו של בבות שנקם כעסו על אחאב ויצא ממחיצתו של מקום	0	0	0	0	0	2	0
שנ דובר שקרים לא יכון נגד ײ  ר מני בריה דר יונה הוה	0	3	0	0	0	0	0
מצערי ליה ביה נשיאה אזל אשתטח אמערתא דאכזה	0	3	0	0	0	0	0
אמא חד הוה חלפי להתם אבקוט כרעי דסוסוותהו ער דקבלו על	0	6	0	0	0	0	0
עליה דלא מצערו ליה  כת כי החיים אדעים שימותו והמתי	0	7	0	0	0	0	0
אינם יודעים מאומה ודריש התם כצדיקי ורשעים	0	7	0	0	0	0	0
מעשה בחסיד אחד שנתו דצר לעני בערב ראש רשנה בשני	0	3	0	0	0	0	0
בצרות והקניטתו אשתו ש והלך ולן בבית הקברות י	0	7	0	0	0	0	0
שמע שני רוחות שמספרות זו עם זו אמ לה חברתי בואי ונשוט	0	11	0	0	0	0	0
