בזני מוסרן למליוך ששמו דומה לשמר אותן מתים ומתגלגלין	bavli.Sanhedrin.182		:::::::	:::::::
עמן ושטיו בעולם עד שיתמלאו שנותם  אר יוחנ מניין  	bavli.Sanhedrin.182		:::::::::midrash.Ein_Yaakov.Khagigah.2:::::bavli.Shabbat.126:	::::::::::::::bavli.Sanhedrin.182:
לנשמות של מתים שמספרות דו עם זו  שנ ויאמר ײ אלי	bavli.Sanhedrin.182	II_Kings.2	:::midrash.Ein_Yaakov.Khagigah.2:::::bavli.Shabbat.126:::::::	::::::::bavli.Sanhedrin.182:::::::
את הארץ אשר נשבעתי לאבותיך לאברהם ליצחק וליעקב לאמר 	bavli.Sanhedrin.182	Deuteronomy.34	::midrash.Ein_Yaakov.Khagigah.2:::::bavli.Shabbat.126::::::::	:::::::bavli.Sanhedrin.182::::::::
אל המקום למשה לך ואמור להם לאברהם ליצחק וליעקב שבועה	midrash.Yalkut_Shimoni_on_Torah.276	Deuteronomy.34	:bavli.Shabbat.126:::::::::midrash.Yalkut_Shimoni_on_Torah.282:midrash.Yalkut_Shimoni_on_Torah.285:midrash.Yalkut_Shimoni_on_Nach.461:bavli.Berakhot.36:midrash.Midrash_Tanchuma.Masei.4:	:bavli.Sanhedrin.182:::::::::midrash.Yalkut_Shimoni_on_Torah.276:midrash.Yalkut_Shimoni_on_Torah.276:midrash.Midrash_Tanchuma_Buber.Mishpatim.7:midrash.Yalkut_Shimoni_on_Torah.965:bavli.Berakhot.36:
שנשבעתי להם קיימתי לבניהם  ו והפרחון פי בערך חטף כי רוח	bavli.Berakhot.36		midrash.Yalkut_Shimoni_on_Torah.285:midrash.Yalkut_Shimoni_on_Nach.461:bavli.Berakhot.36:midrash.Midrash_Tanchuma.Masei.4:midrash.Midrash_Tanchuma.Masei.4:midrash.Midrash_Tanchuma_Buber.Masei.3:midrash.Midrash_Tanchuma_Buber.Masei.3:midrash.Midrash_Tanchuma_Buber.Masei.3::::::::	midrash.Yalkut_Shimoni_on_Torah.276:midrash.Midrash_Tanchuma_Buber.Mishpatim.7:midrash.Yalkut_Shimoni_on_Torah.965:bavli.Berakhot.36:bavli.Berakhot.36:midrash.Midrash_Tanchuma.Masei.4:bavli.Berakhot.36:bavli.Berakhot.36::::::::
מלפני יעטף פי רוח ונשמות לפני יחלקו לגופות הנלדים  ובחלק	bavli.Niddah.26	Isaiah.57	:::::::::bavli.Niddah.26::::::	:::::::::midrash.Yalkut_Shimoni_on_Nach.339::::::
מי יפתה את אחאב רוחו של נבות לפי שהרג אתנבות בלא דין 	midrash.Midrash_Tehillim.63	II_Chronicles.18	::::::::midrash.Midrash_Tehillim.63:bavli.Shabbat.298:midrash.Yalkut_Shimoni_on_Nach.312:::::	:::::::::midrash.Yalkut_Shimoni_on_Nach.221::::::
ובלא ענן היה רוחו מחזר לפתותו ולהפילו וכתי צא ממחיצתי זה	midrash.Midrash_Tehillim.63		::::bavli.Niddah.64:::::::::::	:::::::::::::::
רוחו של בבות שנקם כעסו על אחאב ויצא ממחיצתו של מקום	midrash.Midrash_Tehillim.63	Exodus.2	::::::minor_tractate.Avot_D'Rabbi_Natan.31:bavli.Shabbat.298:bavli.Ketubot.73::midrash.Yalkut_Shimoni_on_Nach.283:::::	::::::midrash.Yalkut_Shimoni_on_Nach.887:midrash.Yalkut_Shimoni_on_Nach.221:mishnah.Ketubot.1::midrash.Pesikta_D'Rav_Kahanna.15:::::
