בזני מוסרן למליוך ששמו דומה לשמר אותן מתים ומתגלגלין	
עמן ושטיו בעולם עד שיתמלאו שנותם  אר יוחנ מניין  	bavli.Sanhedrin.182
לנשמות של מתים שמספרות דו עם זו  שנ ויאמר ײ אלי	midrash.Midrash_Tanchuma.Nasso.19
את הארץ אשר נשבעתי לאבותיך לאברהם ליצחק וליעקב לאמר 	midrash.Midrash_Tanchuma.Masei.4
אל המקום למשה לך ואמור להם לאברהם ליצחק וליעקב שבועה	midrash.Yalkut_Shimoni_on_Torah.276
שנשבעתי להם קיימתי לבניהם  ו והפרחון פי בערך חטף כי רוח	bavli.Berakhot.36
מלפני יעטף פי רוח ונשמות לפני יחלקו לגופות הנלדים  ובחלק	bavli.Niddah.26
מי יפתה את אחאב רוחו של נבות לפי שהרג אתנבות בלא דין 	midrash.Midrash_Aggadah.Genesis.1.26
ובלא ענן היה רוחו מחזר לפתותו ולהפילו וכתי צא ממחיצתי זה	
רוחו של בבות שנקם כעסו על אחאב ויצא ממחיצתו של מקום	midrash.Yalkut_Shimoni_on_Nach.283
שנ דובר שקרים לא יכון נגד ײ  ר מני בריה דר יונה הוה 	midrash.Yalkut_Shimoni_on_Nach.524
מצערי ליה ביה נשיאה אזל אשתטח אמערתא דאכזה	midrash.Ein_Yaakov.Taanit.3
אמא חד הוה חלפי להתם אבקוט כרעי דסוסוותהו ער דקבלו על	bavli.Taanit.46
עליה דלא מצערו ליה  כת כי החיים אדעים שימותו והמתי	bavli.Ketubot.121
אינם יודעים מאומה ודריש התם כצדיקי ורשעים 	yerushalmi.Berakhot.30
מעשה בחסיד אחד שנתו דצר לעני בערב ראש רשנה בשני	bavli.Berakhot.36
בצרות והקניטתו אשתו ש והלך ולן בבית הקברות י 	bavli.Berakhot.36
שמע שני רוחות שמספרות זו עם זו אמ לה חברתי בואי ונשוט	bavli.Berakhot.36
בעולם  אמ לה אינני יכולה שאבי מכוסה במחצלת של קנים אלא	bavli.Berakhot.36
לכי את ומה שתשמעי בואי ותספרי לי הלכה ושמעה ואמרה	midrash.Midrash_Tehillim.4
שמעתי מאחורי הפרגוד שכל הזורע בזריעה ראשונה ברד 	bavli.Chagigah.29
מלקה  מה עשה אותו האיש זרע בשנייה  וכן עשה בשנה שניי	midrash.Yalkut_Shimoni_on_Torah.166
ובשלישית נתגלה הדבר ואמ חברתי דברים שבני לבצך נשמע	midrash.Sifrei_Devarim.306
בין החיים אלמא דמתים יודעים עתידות  מעשה בועירי	midrash.Yalkut_Shimoni_on_Torah.794
ראפקיד זודיה גבי אושפיזכניה עד דיותי ואזיל	midrash.Ein_Yaakov.Taanit.3
לבי רב שכיבא אושפי זכניה אזל בתריה לבית הקברות אל זוזי	mishnah.Oholot.4
היבא אל שקלינהו מתותיה ענורא דדשא  ועוד מעש	bavli.Berakhot.36
דאבוה דשמואל הוה מפקדי ליה זוזי דיתמי כי	bavli.Berakhot.36
וח נפשיה לא הזה שמואל לגביה כי אתא שמואל הזה קרייה	bavli.Berakhot.36
ליה חדי גברא דאכיל זזזי דיתמי אדל שמואל לבית הקברות אמ	bavli.Berakhot.36
אבא היכא אמרו לו המתים טובא אבא איכא אבא בר אבא 	midrash.Ein_Yaakov.Khullin.11
מבוה דשמוול אמר ליה סליק ליה למתבתא דרקיעא  פרשי	bavli.Bava_Kamma.170
	
שנגלו לו כאילו הם מקבריהם יושבים בע גולה חזייה שמואל 	yerushalmi.Sanhedrin.23
ללוי שהיה חברו דיתיב אבראי פי חוץ לישיבה של שאר מתים	
אל מאי טעמ לא סליק אל כל הנך שני דלא עילת למתינתא דר 	bavli.Kiddushin.145
אפס כדאי בכתובו פ הנושא  חזייה דהוה בכי וחייך  אבוה דשמו	bavli.Berakhot.10
אל מאיטעמ בכית אל דמטא זימנך למיתה ומאי טעמ חייכת	yerushalmi.Shabbat.30
דחשיבת כולי האי בעלמא  וזוזי דיתמי זיל שקלינהו כו  	midrash.Ein_Yaakov.Sanhedrin.11
מה היא הנפש ברכי נפשי אתיײי אמ דוד הנפש שנתת	midrash.Midrash_Tehillim.7
בי אין אדם יודע מקומה ואין אדם יודע	midrash.Midrash_Tanchuma_Buber.Vayakhel.1
מקומו של עולם ואפי חיות הקדש שטוענות את כסאו או ברוך	midrash.Midrash_Tehillim.75
כבוד ײ ממקומו  תנא נפש שהיא יחידה שאין אדם ידע את	midrash.Midrash_Tanchuma.Shemot.18
מקומה ותקלם למקום שהוא יחיד ואין אדם אדע את מקומו  	midrash.Midrash_Tanchuma_Buber.Tazria.7
ביעשה באדם אחד ששאל את רג באיזה מקום ﭏהיבם 	midrash.Midrash_Tanchuma_Buber.Noach.22
כתוו אל איני יודע  אל זו היא תפלתכם וחכמתכם	midrash.Midrash_Tehillim.103
שאתם מתפללין לפניו בכל אם ואם ואין אתם יודעין את מקומו אל	midrash.Yalkut_Shimoni_on_Nach.857
זה דבר ששאלת רחוק ממנו ג אלפים וה מאות שנה מהלך אדם	midrash.Yalkut_Shimoni_on_Torah.721
ביעני  אבל או לך דבר שהוא אצלך באם ובלילה אמור לי באיזה	midrash.Midrash_Tanchuma_Buber.Tazria.7
מקום הוא וזה הנפש שהוא נתונה בגופך ואין אתה יודע היכן	midrash.Yalkut_Shimoni_on_Torah.397
היא אל איני אדע אל רג תיפח נפשיה דההוא גברא  ומה נפש 	bavli.Bava_Metzia.171
שהיא איצלך אמם ולילה איו אתה יודע היכן היא הק על אחת 	midrash.Yalkut_Shimoni_on_Torah.397
כמה וכמה אל אכ יפה אנו עושין שאנו משתחוים למעשה ידינן	midrash.Yalkut_Shimoni_on_Nach.857
שבכל שנה אנו רואים אותו  אל קג תיפח נפשך מעשה ידיכם 	midrash.Pesikta_Rabbati.12
אתם רואים אותם זהם אינם רואים אתכם והק הוא רואה אותנו	yerushalmi.Demai.45
ואין אנחנו יכולא לראותו מפני כבודו דכ כי לא יראני האדם וחי 	midrash.Yalkut_Shimoni_on_Torah.431
שאל אנטונונוס את ר גמ ונשמה יכוליו ליפטר מיום הדין  	midrash.Midrash_Tanchuma_Buber.Miketz.11
גוף או מה שחטאתי על ידי הנשמה שמיום שפרשה	yerushalmi.Shekalim.17
ממני לא עשיתי מאומה הריני מוטל כאבן בקבר  ונשמה יאמר 	bavli.Sanhedrin.181
גוף חטא שמיום שנפרדתי ממנן אני הייתי פורח באויר כצפור 	midrash.Ein_Yaakov.Sanhedrin.11
אל ר יומשול לך משל למה הדבר דומה למלך בשר ודם שהיה לו	midrash.Yalkut_Shimoni_on_Torah.289
פרדס נאה והושיב בו שני שומרין אחד חגר ואחד סומא  אם	bavli.Sanhedrin.182
אחד אמ חגד לסומא בכורות נאות אני רואה בפרדס בא ונרכב	bavli.Sanhedrin.182
עליך ונבקש ונביאם ובוכלם רכב חגר על הסומא והביאום ואכלום	bavli.Sanhedrin.182
לימים ביא המלך אמ לתם בכורות נאות היכן הם ענה חגר כלום	midrash.Ein_Yaakov.Sanhedrin.11
	
	
	
	
	
	
	
	
	
יש לי רגלים  וכן הסומא כלום יש לי עינים מה עשה הרכיב חגר על	bavli.Sanhedrin.182
הסומא ודן אותם כאחד  כך יעשה המקום ליום הדין מביא הנשמ	bavli.Sanhedrin.182
וזורק בתוך הגוף ודן אותם שנ יקרא אל השמים מעל זו נשמה	bavli.Sanhedrin.182
ואל הארץ לדין עמו זה הגוף  אל תשכח כל גמוליו  כך אמ	bavli.Sanhedrin.182
דוד לפני המקום  רבונו של עולם כבוד גדול עשית לי שעשי	midrash.Yalkut_Shimoni_on_Torah.266
לאמי דדים במקום בינה פי סמוך ללב  דא שלא יינק במקום הטנופת	bavli.Berakhot.19
פי כמ שעשית לבהמה  ר שמעון בן פזי הוה מסדר אגדתא ק	midrash.Yalkut_Shimoni_on_Nach.857
קמיה דר יהושו בן לוי ואמ מאי דכ וכל קרבי את	yerushalmi.Gittin.5
שם קדשו  בא וראה שלא כמדת הק מדת בשר ודם  אדם צר צורה	bavli.Berakhot.19
