בזני מוסרן למליוך ששמו דומה לשמר אותן מתים ומתגלגלין		0
עמן ושטיו בעולם עד שיתמלאו שנותם  אר יוחנ מניין	bavli.Sanhedrin.182	1
לנשמות של מתים שמספרות דו עם זו  שנ ויאמר ײ אלי	midrash.Midrash_Tanchuma.Nasso.19	1
את הארץ אשר נשבעתי לאבותיך לאברהם ליצחק וליעקב לאמר	midrash.Midrash_Tanchuma.Masei.4	2
אל המקום למשה לך ואמור להם לאברהם ליצחק וליעקב שבועה	midrash.Midrash_Tanchuma.Masei.4	4
שנשבעתי להם קיימתי לבניהם  ו והפרחון פי בערך חטף כי רוח	midrash.Midrash_Tanchuma.Masei.4	6
מלפני יעטף פי רוח ונשמות לפני יחלקו לגופות הנלדים  ובחלק	bavli.Berakhot.36	5
מי יפתה את אחאב רוחו של נבות לפי שהרג אתנבות בלא דין	midrash.Midrash_Aggadah.Genesis.1.26	2
ובלא ענן היה רוחו מחזר לפתותו ולהפילו וכתי צא ממחיצתי זה	midrash.Midrash_Aggadah.Genesis.1.26	2
רוחו של בבות שנקם כעסו על אחאב ויצא ממחיצתו של מקום	midrash.Midrash_Aggadah.Genesis.1.26	2
שנ דובר שקרים לא יכון נגד ײ  ר מני בריה דר יונה הוה	midrash.Yalkut_Shimoni_on_Nach.524	3
מצערי ליה ביה נשיאה אזל אשתטח אמערתא דאכזה	midrash.Yalkut_Shimoni_on_Nach.524	3
אמא חד הוה חלפי להתם אבקוט כרעי דסוסוותהו ער דקבלו על	bavli.Taanit.46	6
עליה דלא מצערו ליה  כת כי החיים אדעים שימותו והמתי	bavli.Taanit.46	7
אינם יודעים מאומה ודריש התם כצדיקי ורשעים	bavli.Taanit.46	7
מעשה בחסיד אחד שנתו דצר לעני בערב ראש רשנה בשני	bavli.Berakhot.36	3
בצרות והקניטתו אשתו ש והלך ולן בבית הקברות י	bavli.Berakhot.36	7
שמע שני רוחות שמספרות זו עם זו אמ לה חברתי בואי ונשוט	bavli.Berakhot.36	11
בעולם  אמ לה אינני יכולה שאבי מכוסה במחצלת של קנים אלא	bavli.Berakhot.36	10
לכי את ומה שתשמעי בואי ותספרי לי הלכה ושמעה ואמרה	bavli.Berakhot.36	11
שמעתי מאחורי הפרגוד שכל הזורע בזריעה ראשונה ברד	bavli.Berakhot.36	7
