midrash.Bemidbar_Rabbah	midrash.Bereishit_Rabbah	midrash.Derech_Eretz_Zuta	midrash.Devarim_Rabbah	midrash.Eichah_Rabbah	midrash.Ein_Yaakov	midrash.Esther_Rabbah	midrash.Kohelet_Rabbah	midrash.Mekhilta_DeRabbi_Shimon_Bar_Yochai	midrash.Mekhilta_d'Rabbi_Yishmael	midrash.Midrash_Aggadah	midrash.Midrash_Lekach_Tov_on_Ruth	midrash.Midrash_Mishlei	midrash.Midrash_Tanchuma.	midrash.Midrash_Tanchuma_Buber	midrash.Midrash_Tehillim	midrash.Otzar_Midrashim	midrash.Pesikta_D'Rav_Kahanna	midrash.Pesikta_Rabbati	midrash.Pirkei_DeRabbi_Eliezer	midrash.Ruth_Rabbah	midrash.Seder_Olam_Rabbah	midrash.Sefer_HaYashar	midrash.Shemot_Rabbah	midrash.Shir_HaShirim_Rabbah	midrash.Sifra	midrash.Sifrei_Bamidbar	midrash.Sifrei_Devarim	midrash.Tanna_Debei_Eliyahu_Rabbah	midrash.Tanna_debei_Eliyahu_Zuta	midrash.Vayikra_Rabbah	midrash.Yalkut_Shimoni_on_Nach	midrash.Yalkut_Shimoni_on_Torah	text
1	2	0	0	0	0	0	0	0	0	0	0	0	8	53	0	0	1	0	0	0	1	0	2	0	0	1	0	1	0	0	7	3	בל סדום וגו' כיון שנתחייבו אמ' הק' למלאכים מה אתם עומדים לכו והשחיתום מיד עשו קילוסן שר בוראו מני ממה שהק' בעג' וינאו שני המלאבים סוד בערב מהו בעירב שהיו הסדומים חשיכין בלילה ד בעוב הגיע ערבה של סרום ולו אשב בשער סרום וגו' מלמד שלמד ממעשיו של אבר מה בת' נאבר וירא ור' וירץ אמר שלמ' חדלנער עו פי דרכו וגו' על ידי שגדל לוט בביתו של אברהם תפש דותיו וישתחוו אפים ארצה כשם שעשה אברהם הבנים אותם לביתו מה כת' טרם ישכבו וגו' ויהראו אל לונ וג' התחילו המלאכים תמיהין לומ' מעד אוצלינו הגיע הזדבד והעינין הרבה יולא
0	3	0	0	0	0	0	0	0	0	0	0	0	1	39	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	1	שלא להטוריח לפניכם בסוף מה עשן אחר מהם הציל את לוט ואחד מהם הפדאת סזום שמא תאומ' בידיו הפכה באומנע ביוצבע אחת הפך אותה שהוא מחמשה שנ' נחלמיש ידו ונ לעול הבא הק' מרפי אותה וישר' מחלקין אותשנ' אחלקה שכם וגו' וײ המטיר על סדום וגמ' ילמדי' רבי' בד' שגזר תענית על הציבור שירדו גשמים ונסלו בו ביום מהו שישלמו תעניתם כך שנו רנותי האומתענין וירדו להם גשמים ודם זנץ החמה לא ישלימן לאוחר הנן החמה ישלימו דברי ר מאיר ור' יהוד' אומ' קודם הית לא ישלימו לאחר חצות משלאוו למנן סמכו הדורות שיהו מענרם מתעבים בשיני ובהמישי אלא כשעשו
1	1	0	0	0	1	0	0	1	0	1	0	0	7	28	0	0	2	2	0	0	0	0	1	0	0	2	0	2	0	0	7	3	ישר' אותו המעשה עלה משה בהן וירדבשיני מני' אמ' ר לוי עלה בחמשי זבחמשילחמשי ולחמשי מעוב שנת לערנ שבת ולעוב שבת ה"י רי ל ומשבת לשבת ת' הרי מו ואחד בשבת נשיני בשבת הרי מ' לכד התקינל חכמים שהאמתענין בשיני ובחמשיבעלייתו של משה ובירידבו ובוף מ נתענו והיז בוכין כפגד משה נתמללא ה' רחמים ועשה להם אותו אס אם כפרה לעונותיהם ואיזה זה יום הכיפ' שנ בוכי באםהדה יכפר עליהם ראו מה יפה התשובה אמ' הק' שובו אלי ואשובה אליכם וגו' אמרו רופי איש ביד אדם כמה עוות והוא שב לפני הק' הוא מעלה עליו כאילו לא חטא ש' כלחטא
0	3	0	0	0	0	0	0	1	0	0	0	0	4	21	2	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	4	4	אשר עש לא תזבר וגו' וכטוז שהק' מתרחם פעם ראשונה ושנייה ושלישית ואינו עושה תשונ פיע ממנו שנ' הנה כל אלה יפעל לוגו כאן שאינו מוציא הנאה ממנו' מידנפרע ממנו תדע לד שכן הוזא מבקש הק' להפוך סדום וחבורותיה עמד אברוה ובקש רחמים עליהם סבור שמא ם להם תוחלת ש' ויגש אברה' מהו ויגש ר' יהושע אמ' אין לשון וינש אלא לשון מלחמה שוינש אואב ועם וגו ר'בחמ' אומ' לשון ויגש לשו' בקשה ש ויגש אלא יהודה וגו' וחכמ' אומ' ייו לשון ויגש אלא תפילה שנ' ויהי כעלות המנחה ויגש אליהו וו אמ ארה לפני הק חמלה לך וג' והיה
0	1	0	0	0	0	0	0	0	0	1	0	0	1	23	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	14	3	מבקש מליהם רחמים עד שירדו מחמשים ײי באז שלא מצא להם זטות נסתלה שכינה ממן ' וילך ײ כאש' כילה וגו' מיד באותה עלרהם פורענות שנ' וײ המטיר על סדום זשה כמ'שבלול תמה יהלך כשם' שהשבולת הזו נשטפת כך נשטפו אנשי סדום שמ' שהמסה אותן הק באש בפל חזו אשת בל חזו שמש שלא חזו אנשי סדום כשהמש ינא על האלי " רמ שבלול כמן שסשיב הזו שוטפת כלמה שהיא מויני כךד אנשי סדום מי שהוא עומד במדינה כל מי שנמני עונשטף עומו כי ענ' שבלול וגו כאון שהואו מת אינו אה עוד שמש מה כת' ײ' המטיר על סדום
1	3	0	0	0	0	0	1	0	0	0	0	0	3	29	1	0	0	0	2	0	0	0	0	1	0	0	2	0	0	1	1	5	ונו אמ' הבת' ימטר על רשעי וגו' המכה זו היאנה מתקנתת' עד שלא נברא ה העולם מנת כוסם כיכוס בידײל ויין חמר זגו' כי בוס ביד מ שמא תאמ'שהוא אינו חמר תל מולא מסך שמא תאמ' ממנ היו שותה תל ויגר מזה אוף שמריה ימינו וישתו כל ארין למה נאמ' מנפ כוסם מאותו הכוס שו ש'מנת כופסם דא ימטר על משאור' פחים א"ר יהור' בן פזי מוריד מלמעלה דבו רע אלא המ המטיר ונעשה נפרית ואש דאו וײ המטיר על סדום מהו מאת ײ אלא הוא אומ' הנני ממטיר לנעשה גופרית ורוש ד"ל וײ המטרר על סדום מהו מאות ײ
0	2	0	0	0	1	0	0	1	0	0	0	0	3	42	5	0	1	0	0	0	1	0	0	1	0	1	2	0	0	0	6	3	אלא הוא אומ' חהנני ממבר על סדת לכם לם וגו' וכן הוא אומ' וײ המטיר על סדום א"ר נרכיה למה הד' ד' למלך שהיה עומד ינל הכבשן של וחתום אוהבו אעלו דדה פת חמה ונתן לו נכנס שונאו חתה גחלים ובתןו לו כך הק' כשבאו הסדומרם לידי עבירות הורידלהם אש מן השמים שנ' וײ המטיר על סדום מהו וײ המטיר שישב עליהם במשפט סנהדריו של שבעים ואחד וחייבן לשריפה והמריד עליהן אש מן השמים כצא בדבר אומ' אם בא לשאלך אדם מה כת' בפסוק הזה וײ המטיר על סדום מאתײ אמור לו מש פסוק כיוצא בדבר אתה אומ' ויאמ' אל
0	1	0	0	0	0	0	0	0	0	0	0	0	4	37	1	0	3	3	0	0	0	0	0	0	0	0	1	0	0	0	3	0	עבדיו קחו עמכם עבדי אדוניכם לא נריך לומ' קחועמכם אלא עברי הרי בנביאים ובתורה בכתובים מני' שנ' כי כתב אשר נכתב בשם המלך ונחתם בטב' המלך לא היה צריך אלא בטבעתו ואף כאן וײ המטיר מה כת' למעלה מן העיניר' ויבאו שני המלאכי' סדומה וגו שלשה מלאכי שלה הק'כל אחד ואחד שליחותו אחד לבשר את שרה ואחד הלך למלעון את לוט זאחד הלך להפוך את סדום ואין מלאך עושה שני שליחות מיכא הלך לבשר את שרה מני שנ י שוב אשוב אליך אשובה אין כת' באן אלא אשוב עשה שליחות והלך לו והשכם באוו לעשות שליחותו שנ' ויבאו שני תהמלרוי
0	3	0	1	0	1	0	0	0	0	0	0	0	6	63	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	7	להלן קראן אנשים וכאן קרי אותן מלאכים אלא אור אלכסנדי אצל אברהם היו אנשים שהיו המלאכי' מצומו בתוד ביתו של אברה צופיה הליות בתה שהיו הולכין בביתו של אברה מלאכים על ידי שהיה מצו נמלאנל נראו לו בדמות אנשים אנבל לונ שהיה הדיוט בראה לו מלאבי ש' שני המלכי סדומה כת' והוא באחד מיישיב וג' רש ר' פפיס לפי שהוא וחיד בעולמו ואי מי שימחה בידוכל מה שהוא מבקש הואו עושה אמ' לו ר עחיב דייך פפים אין דורשין כן אלא הכל עשה בדין ומהו באחד וגו' אלא כשם ששואל השואל מלמט כן מלמנלה זכשם שסנהדרי נואוות ונותנות למטן כך
1	0	0	0	0	1	0	0	0	0	0	0	0	3	46	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	9	5	מלמעלן ש' ראיתי את ײאכ יושב על בסאוו וכל צבא השמים עומדין עליא מימין ושמאל וכי יש משמאל למעלן והלא כבר באמ' ימוינך ײ אלא אילו מטין לבף זכות ואילו מטין לכוף חנבה הוי הבל במשפט ורשם שהשואל שואל מלמטן מני שכך אמ' דניאל בגזירת עידין פיתגמ' ובמאמ' סדישין שאילמאות לפי שהוא יהידי בעולמו עושה כל מה שהוא יחידי בעולמו אדע משפטו של ברמת ר' יהור' הלוי בר' שלום אומ' עד שהוא יחידי בעולמו אדע דעתו של נראות למי שהוא אמ' לך בשליחתי אלך הוי ונפשו אוותה ויעש וכן ירמיה אמ'נער אנכי וכר' נשא אמ' לו הא' אל תאמ'נער אנבי
